url_normalized,count_cursor,count_codex,count_claude,count_total
"https://cn.linkedin.com/in/jing-chen-6790101a,https:",1,0,1,2
https://cn.linkedin.com/in/jun-fang-325b958,1,0,1,2
https://cn.linkedin.com/in/kaifulee,1,0,1,2
"https://cn.linkedin.com/in/lei-jun-6846696,https:",1,0,0,1
https://cn.linkedin.com/in/oscarramosm,2,0,0,2
https://cn.linkedin.com/in/rachel-wang-4a73065a,2,0,1,3
https://cn.linkedin.com/in/steven-wang-59a6071,0,0,1,1
https://cn.linkedin.com/in/xiaoning-liu-2b734943,0,0,1,1
"https://cn.linkedin.com/in/xiaoning-liu-2b734943,https:",1,0,0,1
https://cn.linkedin.com/in/xiaopingxu,5,6,0,11
"https://cn.linkedin.com/in/xin-he-137979177,https:",0,0,1,1
https://cn.linkedin.com/in/yuan-liu-08798512,5,6,0,11
"https://cn.linkedin.com/in/yusen,https:",0,0,1,1
"https://cn.linkedin.com/in/ze-qian-0983b4105,https:",0,0,1,1
"https://cn.linkedin.com/in/zhenyi-li17,https:",1,0,0,1
"https://cn.linkedin.com/in/zhijianz,https:",0,0,1,1
https://cn.linkedin.com/in/悦-郭-70174011b,1,0,0,1
https://cy.linkedin.com/in/maximchebotarev,1,0,0,1
https://cy.linkedin.com/in/maxmedvedev,1,0,0,1
https://cy.linkedin.com/in/pavelterentiev,1,0,0,1
https://cz.linkedin.com/in/guillaumefour,2,7,2,11
https://cz.linkedin.com/in/janhabermann,2,7,2,11
https://cz.linkedin.com/in/matejmicek,2,7,2,11
https://cz.linkedin.com/in/obartos,2,7,2,11
https://cz.linkedin.com/in/vladojez,2,7,2,11
https://de.linkedin.com/in/axelmasucci,1,0,0,1
https://de.linkedin.com/in/bernard-bernd-wendeln-4611a3,0,0,1,1
https://de.linkedin.com/in/daniel-breyer,1,0,0,1
https://de.linkedin.com/in/drtillstenzel,1,2,0,3
https://de.linkedin.com/in/frank-hüther,1,0,0,1
https://de.linkedin.com/in/franz-burghagen-mba,1,0,0,1
https://de.linkedin.com/in/guelsahwilke/de,7,7,2,16
https://de.linkedin.com/in/heiko-jopp-6b588a6a,1,0,0,1
https://de.linkedin.com/in/matteoluoni,7,7,2,16
https://de.linkedin.com/in/merlin-hannemann,1,0,1,2
https://de.linkedin.com/in/reinhard-vogt-46babb182,6,6,0,12
https://de.linkedin.com/in/rubenosnabrugge,2,0,0,2
https://de.linkedin.com/in/thomas-racky-a358643,1,0,0,1
https://de.linkedin.com/in/vonstackelberg,2,2,0,4
https://dk.linkedin.com/in/christiantangjespersen,5,0,0,5
https://dk.linkedin.com/in/henrijette-richter-12a238,3,0,0,3
https://eg.linkedin.com/in/heba-eltemsahy-7196171a8,2,0,0,2
https://es.linkedin.com/in/carlosblanco,2,0,0,2
https://es.linkedin.com/in/ernest-sanchez,2,0,0,2
https://es.linkedin.com/in/javierdarriba,2,0,0,2
https://es.linkedin.com/in/jordiarmengolborras,2,0,0,2
https://es.linkedin.com/in/miguelsanzvc,2,0,0,2
https://es.linkedin.com/in/monica-vallejo-gonzalez,1,0,1,2
https://es.linkedin.com/in/nairafranca,2,0,0,2
https://es.linkedin.com/in/ojuncosa,2,0,0,2
https://es.linkedin.com/in/raesco,2,6,0,8
https://fi.linkedin.com/in/akiylonen,1,0,0,1
https://fi.linkedin.com/in/janameri,1,0,0,1
https://fi.linkedin.com/in/kimgroop,0,0,1,1
https://fi.linkedin.com/in/lassi-noponen,1,0,0,1
https://fi.linkedin.com/in/rantalapekka,1,0,0,1
https://fr.linkedin.com/in/anne-gerset,1,0,1,2
https://fr.linkedin.com/in/antoine-papiernik-06075610,3,0,0,3
https://fr.linkedin.com/in/chloe-timsit-561658a0,7,8,3,18
https://fr.linkedin.com/in/christophe-montague-649898,2,0,0,2
https://fr.linkedin.com/in/denis-dementhon-b9ab3964,1,0,0,1
"https://fr.linkedin.com/in/denis-dementhon-b9ab3964,https:",0,0,1,1
https://fr.linkedin.com/in/francescomaio1,2,0,0,2
https://fr.linkedin.com/in/jean-dominique-bernardini-691164aa,1,0,0,1
"https://fr.linkedin.com/in/jean-dominique-bernardini-691164aa,https:",0,0,1,1
https://fr.linkedin.com/in/jeandlr,6,8,3,17
"https://fr.linkedin.com/in/jeandlr,https:",1,0,1,2
"https://fr.linkedin.com/in/jeremyosih,https:",1,0,1,2
https://fr.linkedin.com/in/jnicolas,0,0,1,1
https://fr.linkedin.com/in/juliencristiani,2,2,0,4
https://fr.linkedin.com/in/louisprunel,2,0,0,2
https://fr.linkedin.com/in/maxime-dupont,2,0,0,2
https://fr.linkedin.com/in/philippe-hayat-a2480490,5,19,0,24
https://fr.linkedin.com/in/qgazay,2,0,0,2
https://fr.linkedin.com/in/raphaeldidier,1,0,1,2
https://fr.linkedin.com/in/robertalexis,6,8,3,17
"https://fr.linkedin.com/in/robertalexis,https:",1,0,0,1
"https://fr.linkedin.com/in/sainteff,https:",1,0,1,2
https://fr.linkedin.com/in/sebastienleroy1,5,19,0,24
https://fr.linkedin.com/in/serhat-pala-7182a3153,1,0,0,1
https://fr.linkedin.com/in/xlorphelin,5,19,0,24
https://gh.linkedin.com/in/josephine-boateng-324878140,2,0,0,2
https://gr.linkedin.com/in/constantinbisanz,3,7,0,10
https://hk.linkedin.com/in/aarifkuang,1,0,0,1
"https://hk.linkedin.com/in/aarifkuang,https:",0,0,1,1
https://hk.linkedin.com/in/bentomaszewski,0,0,2,2
https://hk.linkedin.com/in/chris-zhao-peng-cfa-72589a5a,0,0,1,1
https://hk.linkedin.com/in/jason-ye-cfa-b81a8178,1,0,0,1
"https://hk.linkedin.com/in/simon-ho-18186434,https:",1,0,1,2
"https://hk.linkedin.com/in/stephanie-chan-2a7120147,https:",1,0,1,2
"https://hk.linkedin.com/in/wulian,https:",1,0,1,2
https://hr.linkedin.com/in/ijavorovic,1,0,1,2
https://http://www.linkedin.com/in/baljit,1,0,0,1
https://http://www.linkedin.com/in/haleymbryant,1,0,0,1
https://hu.linkedin.com/in/csaba-konkoly-694994169,1,0,0,1
https://hu.linkedin.com/in/elek-straub-9069744,6,6,0,12
