Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
IDIA,https://www.ca-idia.com/,CVC,Crédit Agricole,France,No,,--,--,,,x,x,€1M,€50M,France,,,,,,,,x,,x,x,x,,,x,x,x,,,
iGan Partners,http://www.iganpartners.com/,VC,,Canada,No,,$400M,"Sep , 2022",x,x,x,,,,x,x,x,x,x,x,,,x,,,,,x,,,,,Digital Health & AI-enabled Medical Devices,,
iGlobe Partners,https://www.iglobepartners.com/,VC,,Singapore,No,5+,$200M,"Nov , 2022",,x,x,x,,,x,x,x,,x,,,,x,x,x,x,,x,,,,x,,https://www.linkedin.com/in/adalyn,https://www.linkedin.com/in/adalyn
Ignite Farm,http://ignitefarmfund.com/,VC,,USA,No,--,$50M,"Sep , 2015",,x,x,,,,,,x,,,,,,x,,,,,,,x,,,,,
Illinois Ventures,https://www.illinoisventures.com/,VC,,USA,No,25+,$15.2M,"Jan , 2018",x,x,x,x,,,,,Midwest,,,,,,x,,,,,x,x,,,,,,
Illumina Ventures,https://www.illuminaventures.com,VC,,USA,Yes,10+,$230M,"Oct , 2017",,x,x,x,,,x,,x,,,,,,,,,,,x,x,x,,,,,
imec.xpand,https://imecxpand.com/,VC,imec,Belgium,Yes,10+,$300M,"May , 2024",,x,x,x,€500K,€3M,x,x,x,x,,,,,x,x,x,,,x,,,,,"Hardware, Nanotech","https://www.linkedin.com/in/frankbulens, https://www.linkedin.com/in/tom-vanhoutte-b608aa33","https://www.linkedin.com/in/frankbulens, https://www.linkedin.com/in/tom-vanhoutte-b608aa33"
Immortal Dragons,https://www.id.life/,VC,,Singapore,Yes,,$40M,Aug 2025,,x,x,,,,x,x,x,x,x,x,"USA, Asia",,,,,,,x,x,,,,,,
Impact Science Ventures,https://impactscience.vc/,VC,,USA,No,10+,$25M,"Jan , 2023",,,x,x,,,,,x,,,,,,x,x,x,x,x,x,x,x,x,,,"https://www.linkedin.com/in/robertethier, https://www.linkedin.com/in/tom-boussie-95118511","https://www.linkedin.com/in/robertethier, https://www.linkedin.com/in/tom-boussie-95118511"
Impact Venture Capital,https://impactvc.com/,VC,,USA,No,10+,$4.2M,"Oct , 2019",,x,x,x,,,,,x,,,,,x,x,,x,,,x,,,x,x,,,
Impact Ventures,www.impactventure.com,BA,,UK,No,,--,--,x,x,x,,£100K,£500K,x,x,x,x,x,x,,,x,x,x,x,,x,,x,x,x,"Engineering, Bioscience, Software",,
Imperative Ventures,https://imperative.vc,VC,,USA,Yes,,,,x,x,x,x,,,,,,,,,,,,,x,x,x,,x,,x,x,,,
Imprimatur Capital,https://www.icfm.lv/,VC,,UK,No,,--,--,,x,x,,,,x,x,x,x,x,x,,,,,x,x,x,,,,x,,"IoT, Energy",,
INCO Group,https://www.inco-group.co/,VC,,France,No,,--,--,,x,,,€100K,€5M,x,x,x,x,x,x,,,x,,,x,,x,,x,,,Green & Social startups,,
Incubit Technology Ventures,http://www.incubitventures.com/,VC,Elbit Systems,Israel,Yes,10+,--,--,,x,x,,,,,x,,,,,,x,x,x,x,x,x,x,,,,x,"SaaS, Infrastructure",,
Indaco,https://www.indacosgr.com/team/,VC,,Italy,No,,€250M,"Apr , 2018",x,x,x,x,,,x,,,,,,,,x,x,x,,x,x,,,,,Digital,,
Index Ventures,https://www.indexventures.com/,VC,,USA,No,1-5,$3.2BN,"Nov , 2022",,x,x,x,,,x,,x,,,,,,x,,,,,,,,,,Mostly consumer & enterprise software. Some AI,"https://www.linkedin.com/in/danfougere, https://www.linkedin.com/in/nina-achadjian, https://www.linkedin.com/in/hannah-seal-78938a22, https://www.linkedin.com/in/hammerjan, https://www.linkedin.com/in/martinmignot",https://www.linkedin.com/in/neilrimer
Indico Capital Partners,https://www.indicocapital.com/,VC,,Portugal,No,,$76M,"Oct, 2024",X,X,X,,$100K,$10M,X,,,,,,,,,,,,,,X,X,X,x,"Ocean Tech: Sustainable Aquaculture and Fisheries, Blue BioTech, Digital Ocean, Waste and Circular Economy, Green shipping, Ocean Renewable Energy","https://www.linkedin.com/in/joana-mendes-de-sousa-732884188, https://www.linkedin.com/in/joao-pedro-roque, https://www.linkedin.com/in/aasantos, https://www.linkedin.com/in/cristinanfonseca, https://www.linkedin.com/in/gabrielacordeiro, https://www.linkedin.com/in/maria-m-amaral, https://www.linkedin.com/in/marta-fernandes-b4ba49a, https://www.linkedin.com/in/rafaela-algares-martins-85a6a52a2, https://www.linkedin.com/in/ricardo-torgal, https://www.linkedin.com/in/rui-jerónimo-20a36590, https://www.linkedin.com/in/rui-rodrigues-07772839, https://www.linkedin.com/in/sofiaegídio, https://www.linkedin.com/in/stephanmorais, https://www.linkedin.com/in/tomásmarchãomarques","http://www.linkedin.com/in/joana-mendes-de-sousa-732884188, http://www.linkedin.com/in/joao-pedro-roque, https://www.linkedin.com/in/aasantos/, https://www.linkedin.com/in/cristinanfonseca/, https://www.linkedin.com/in/gabrielacordeiro/"
Indigo Ventures,https://goindigoventures.com/,CVC,Indigo,India,No,,$53M,"Jul , 2025",,x,x,x,,,,,,,x,,India,x,,,,,,,,,,x,Aviation,,
Industrifonden,https://industrifonden.com/,VC,,Sweden,No,,$600m,"Mar , 2020",,x,x,x,$1M,$10M,Nordics,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Industry Ventures,https://www.industryventures.com/,VC,,USA,No,5+,$900M,"July, 2024",,,,x,,,,,x,x,,,,,x,x,x,,,x,x,,,,Robotics/entreprise software/emerging managers,,
Inflection Point Ventures,https://ipventures.in/,VC,,India,No,,$110M,"Jul , 2025",,x,x,,,,,,,,x,,India,x,x,x,x,x,x,x,x,x,x,x,,,
ING Ventures,https://www.ing.com/About-us/ING-Ventures.htm,CVC,ING,Netherlands,No,,€300M,"Mar , 2020",,,x,x,€250K,€10M,x,x,x,x,x,x,,,x,,,,,,,,,,Fintech,,
Initialized Capital,https://initialized.com/,VC,,USA,No,,$225M,"Oct , 2018",,x,,,,,,,x,,,,,,x,,x,,,,,,,,"Media, B2B, B2C","https://www.linkedin.com/in/francis-thumpasery, https://www.linkedin.com/in/mitchell-angove-044b53163, https://www.linkedin.com/in/samuelklam",
Initiate Ventures,https://www.initiate.vc/,VC,,USA,Yes,,$45M,Nov 2024,,X,X,,$500K,$3M,,,X,,,,,,,,,,,X,,,,,health tech and life sciences companies using digital platforms and AI,,
Inkef Capital,https://www.inkefcapital.com/,VC,,Netherlands,No,10+,--,--,,x,x,x,,,x,,,,,,,,x,,x,,,x,x,,x,,,,
Inmotion,https://www.inmotionventures.com/about/,CVC,JaguarLandRover,UK,No,,--,--,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,,,,x,,"https://www.linkedin.com/in/edychav, https://www.linkedin.com/in/oliverfitz-gibbon, https://www.linkedin.com/in/riz-ismail-a9217354",
Inner Loop Capital,http://www.innerloopcap.com/,VC,,USA,No,5+,$2.6M,"Jun , 2019",x,x,,,,,,,x,,,,,,x,,,,,,,,,,"Cybersecurity, Data Analytics, Cloud Infrastructure, Enterprise SaaS",,
Innoenergy,https://www.innoenergy.com/,VC,EIT,Netherlands,No,30+,€140M,"Sept, 2023",x,x,x,,,,x,,,,,,,,,,,x,,,,,x,,Energy,,
Innogest,http://www.innogestcapital.com/,VC,,Italy,No,10+,€70M,"Nov , 2014",,x,x,,,,x,,x,,,,,,,,,,,x,x,,,,,,
Innosphere Ventures,https://innosphereventures.org/,VC,,USA,No,4,$6.4M,"Aug , 2018",,x,,,,,,,Colorado,,,,,,x,,,x,x,x,x,,x,,"FinTech, Enterprise",,
InnoSpring,http://www.innospring.com/,VC,,USA,No,,--,--,,x,,,,,,,x,,China,,,,x,,,,,,,,,,"Enterprise, Consumer",,
Innova Memphis,http://innovamemphis.com/,VC,,USA,No,70+,$31M,"May , 2017",x,x,x,,$25K,$3M,,,x,,,,,,x,,x,,,x,x,x,,x,,,
InnovaHealth Partners,https://www.innovahealthpartners.com/,VC,,USA,Yes,5+,$53.5M,"Jul , 2019",,,,x,,,,,x,,,,,,,,,,,x,,,,,,,
Innovation Capital,http://www.innovationcapital.fr/,VC,,USA,No,,€15.6M,"Jun , 2020",,x,x,x,,,x,,,,,,,,,,,,,x,x,,,,,,
Innovation Endeavors,http://www.innovationendeavors.com/,VC,,USA,Yes,150+,$630M,"Jan , 2024",,x,x,,,,,x,x,,,,,,x,x,x,,x,,,x,,x,,"https://www.linkedin.com/in/drorberman, https://www.linkedin.com/in/davistreybig","https://www.linkedin.com/in/drorberman, https://www.linkedin.com/in/davistreybig"
Innovation Industries,https://innovationindustries.com,VC,,The Netherlands,Yes,"Jan , 1900",€650M,Jul. 1905,X,X,X,X,€3M,€25M,X,,,,,,,X,X,X,X,X,X,X,,X,X,X,,"https://www.linkedin.com/in/c%C3%A9line-van-der-heijden-584803220, https://www.linkedin.com/in/caaj-greebe-3bb19420, https://www.linkedin.com/in/chris-sonnenberg-9080b75, https://www.linkedin.com/in/fien-hogewoning-26374382, https://www.linkedin.com/in/flip-jansen, https://www.linkedin.com/in/harmdevries, https://www.linkedin.com/in/josefine-tesser-van-den-berg-4161b3a, https://www.linkedin.com/in/kooning, https://www.linkedin.com/in/lissa-verbruggen-b2156596, https://www.linkedin.com/in/margherita-marchetti-phd-322124143, https://www.linkedin.com/in/mari%C3%ABlle-de-macker, https://www.linkedin.com/in/melanie-loos-legal-counsel, https://www.linkedin.com/in/nard-sintenie-863aab, https://www.linkedin.com/in/nigeldiesveld, https://www.linkedin.com/in/pleunihooijman, https://www.linkedin.com/in/rogier-ketelaars-a0b66a74, https://www.linkedin.com/in/siebe-de-jong-14a4a0192, https://www.linkedin.com/in/tobias-ouwerkerk-126b32b4, https://www.linkedin.com/in/tomvanvuren, https://www.linkedin.com/in/vincent-kamphorst-7401884","https://www.linkedin.com/in/c%C3%A9line-van-der-heijden-584803220/, https://www.linkedin.com/in/caaj-greebe-3bb19420/, https://www.linkedin.com/in/chris-sonnenberg-9080b75/, https://www.linkedin.com/in/fien-hogewoning-26374382?originalSubdomain=nl, https://www.linkedin.com/in/flip-jansen/?originalSubdomain=nl"
Innovation Works,https://www.innovationworks.org/,"VC, Accelerator",,USA,No,"Jan , 1900",$5M,Evergreen,X,X,X,,$100k,$500k,,,"Pittsburg, PA",,,,,X,X,X,X,X,X,X,X,X,X,X,"Largely government sponsored and focused on Pittsburgh, PA",,
Innovestor Ventures,http://innovestorventures.com/#about,VC,,Finland,No,,€30M,"Feb , 2020",,x,x,x,,,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Inovia,https://www.inovia.vc,VC,,Canada,No,,$400M,"Feb , 2019",x,x,x,x,,,,,x,x,,,,,x,,x,,,x,x,,x,x,"Telecoms, Consumer, Enterprise, Media","https://www.linkedin.com/in/hellengarcia, https://www.linkedin.com/in/shelby-deburca, https://www.linkedin.com/in/abhithg, https://www.linkedin.com/in/alesdellicolli, https://www.linkedin.com/in/alexis-garneau-0a1161198, https://www.linkedin.com/in/ayushmalhotra02, https://www.linkedin.com/in/bmjetienne, https://www.linkedin.com/in/carleeolsen, https://www.linkedin.com/in/chrisarsenault, https://www.linkedin.com/in/claire-glossop-irani-9aa55138, https://www.linkedin.com/in/colinjmilne, https://www.linkedin.com/in/delia-p-5248b832, https://www.linkedin.com/in/denniskavelman, https://www.linkedin.com/in/drypowder, https://www.linkedin.com/in/etienne-gauthier, https://www.linkedin.com/in/gabi-piccininni-a5914a116, https://www.linkedin.com/in/hugueslalancette, https://www.linkedin.com/in/isabelle-audette-738b4434, https://www.linkedin.com/in/jason-junhong-liu, https://www.linkedin.com/in/jill-weinstein-b67a3a58, https://www.linkedin.com/in/josephkimtalent, https://www.linkedin.com/in/junzhe-zhou, https://www.linkedin.com/in/karamdeep, https://www.linkedin.com/in/karimsharobim, https://www.linkedin.com/in/katherine-hovdestad, https://www.linkedin.com/in/koryjeffrey, https://www.linkedin.com/in/kristopher-mariani-cpa-ca-75361216, https://www.linkedin.com/in/kskalde, https://www.linkedin.com/in/leo-konstadulakis-mba-cfa-60613627, https://www.linkedin.com/in/leslie-schultz-ea, https://www.linkedin.com/in/magaly-charbonneau-769a3520, https://www.linkedin.com/in/manpreetdeol1, https://www.linkedin.com/in/marc-ghobriel, https://www.linkedin.com/in/marianne-dubois, https://www.linkedin.com/in/matthewrosen2, https://www.linkedin.com/in/merylalmeida, https://www.linkedin.com/in/mia-morisset-0151b855, https://www.linkedin.com/in/micmcgraw, https://www.linkedin.com/in/natasha-l-gould-bb83a290, https://www.linkedin.com/in/noah-nagle-8b675616a, https://www.linkedin.com/in/pascale-archambault-10a06864, https://www.linkedin.com/in/patrick-ghoche, https://www.linkedin.com/in/penghong-jia-a1191b175, https://www.linkedin.com/in/prateekmehan, https://www.linkedin.com/in/raifj, https://www.linkedin.com/in/rania-ajakane, https://www.linkedin.com/in/sabrinacannucci, https://www.linkedin.com/in/sam-totonchy, https://www.linkedin.com/in/sarah-t-1a97a478, https://www.linkedin.com/in/scott-munro-264a57, https://www.linkedin.com/in/shawnabbott, https://www.linkedin.com/in/shyamsheth, https://www.linkedin.com/in/siciliafonmarty, https://www.linkedin.com/in/stephanie-martin-9a975222a, https://www.linkedin.com/in/stevenwoods, https://www.linkedin.com/in/taha-mubashir-2b4255b, https://www.linkedin.com/in/xzleochen",
Inovo,https://inovo.vc/,VC,,Poland,No,,€40M,Apr. 2020,,x,x,,€0.5M,€2M,Central & Eastern Europe,,,,,,,,x,,,,,,,,,,Consumer,,
Insight Partners,https://www.insightpartners.com/,VC,,USA,No,,$20B,Jul. 2022,,x,x,x,,,x,x,x,x,x,x,,,x,,,,,x,,x,,,Software only,"https://www.linkedin.com/in/scottbarclay, https://www.linkedin.com/in/ryhinkle, https://www.linkedin.com/in/nikhilsachdev","https://www.linkedin.com/in/scottbarclay, https://www.linkedin.com/in/ryhinkle, https://www.linkedin.com/in/nikhilsachdev"
Insta Ventures,https://insta.vc/,VC,,Cyprus,No,,$2M,--,x,x,x,,$100K,$500K,x,,,,,,,,x,,x,,,x,,x,x,x,"SaaS, B2B/B2B2C, Marketplaces, Enterprise Software, Mobile, AI / ML",,
Intel Capital,http://www.intelcapital.com/,CVC,Intel,USA,No,,$1B,"Feb , 2022",,x,x,,,,x,x,x,x,x,x,,,x,x,x,,,,,,,x,,,
Intelis Capital,https://www.inteliscapital.com/,VC,,USA,No,"Jan , 1900",--,"Jun , 2019",,x,x,,,,,,x,,,,,,x,,,x,,,,,x,,Enterprise,,
Interstellar Ventures,https://www.interstellar.ventures/,VC,,Germany,Yes,--,--,--,,x,x,,,,x,,,,,,,x,,,,,,,,,,,,,
Interwest partners,http://www.interwest.com/,VC,,USA,No,,$650M,"Aug , 2008",,x,x,x,,,x,x,x,x,x,x,,,x,,,,,x,x,,,,IT,,
Intudo,https://intudovc.com/,VC,,Indonesia,No,,$125M,Nov 2024,X,X,X,X,$1M,$10M,,,,,X,,,,,,,X,,X,,X,,,Indonesia Only,,
InveN Capital,http://www.invencapital.cz/,VC,,Czech Republic,No,,€50M,"Dec , 2017",,,,x,,,x,,,,,,,,,,,x,,,,,x,x,,"https://www.linkedin.com/in/briankachlik, https://www.linkedin.com/in/daniel-edgerley-9067b814, https://www.linkedin.com/in/fbisschop, https://www.linkedin.com/in/hana-uhlíková-cfa-58aa7510, https://www.linkedin.com/in/helena-lelkova-97257152, https://www.linkedin.com/in/ivo-n%C4%9Bmejc-44968b78, https://www.linkedin.com/in/jacob-bryce-b81157, https://www.linkedin.com/in/janaosangova, https://www.linkedin.com/in/klara-pavlickova-4711ba5a, https://www.linkedin.com/in/krist%C3%BDna-machov%C3%A1-9ba74062, https://www.linkedin.com/in/lucie-houdkov%C3%A1-a4b95263, https://www.linkedin.com/in/martin-forstmeyer-58374210a, https://www.linkedin.com/in/michal-mravec-1a8039120, https://www.linkedin.com/in/petr-m%C3%ADkovec-ba654a14, https://www.linkedin.com/in/petra-sokolov%C3%A1-8b4009a, https://www.linkedin.com/in/viktor-mi%C5%A1kovsk%C3%BD-34b171112, https://www.linkedin.com/in/zdenekpekarek",
Inventages,http://www.inventages.com/,CVC,Nestlé,Switzerland,Yes,10+,--,--,,x,x,x,,,x,x,x,x,x,x,,,,,,,,x,x,,,,,,
Inventure,http://inventure.fi/,VC,,Finland,No,1-5,€150M,"Nov , 2022",,x,x,x,$200M,$5M,Balics and Nordics,,,,,,,,x,,,,x,x,,,,x,Diversified,,
Inveready,https://inveready.com/,VC,,Spain,No,,€50M,May. 2020,,x,x,,,,Spain,,,,,,,x,x,,x,,,x,x,x,,,,,
Invesco,https://www.invesco.com/corporate/,VC,,USA,No,,--,--,,,,x,,,x,x,x,x,x,x,,,x,,x,,,x,x,,,,,,
Invest-NL,https://www.invest-nl.nl/focusgebieden/deep-tech?lang=en,VC,,Netherlands,,,€250M,"Jul , 2022",,,x,x,€5M,€50M,Netherlands,,,,,,,,x,x,x,x,x,x,x,x,x,x,,,
Investible,https://investible.com/,VC,,Australia,No,"Dec , 1899",A$100M,"Sep , 2021",x,x,x,,"A$250,000","A$1,000,000",,,,,x,,"Australia, New Zealand, Southeast Asia",,,,,x,,,,x,x,x,,,
Investo Capital,https://www.investo.dk/,VC,,Denmark,No,"Jan , 1900",--,--,,x,x,x,,,Denmark,,,,,,,,,,x,,,x,,,,,,,
Invoke Capital,http://www.invokecapital.com/,VC,,UK,Yes,5+,--,--,,x,x,,,,x,,,,,,UK,,x,,,,,x,x,,,,,,
INX Venture Capital,https://www.inxinternational.com/company/corporate-venture-capital-program,CVC,INX International,USA,No,,$50M,"May , 2022",,x,x,x,,,x,,x,x,,,Latam,,,,x,,x,,,,,,Printing technology and Ink related,,
IP Group,https://www.ipgroupplc.com/,VC,,UK,No,,--,--,,x,x,x,,,x,,x,x,,,Australia/NZ,,,,,,,x,x,,x,,,,
IQ Capital,https://iqcapital.vc/about-us/,VC,,UK,Yes,40+,$200M,"Jun , 2023",x,x,x,x,£100K,£30M,UK,,,,,,,x,x,x,x,,x,x,x,,,,,,
IRIS,https://www.iris.vc/,VC,,France,No,--,€110M,"Dec , 2022",,x,x,,€1M,€8M,x,,,,,,,,x,,x,,,,,,,x,"Software, IoT, Data",,
Iron Wolf,https://www.ironwolfcapital.com/portfolio,VC,,Lithuania,No,,€16M,Jan. 2019,,x,x,,€0.25M,€2M,x,,,,,,,,x,,x,,,,,x,,,,"https://www.linkedin.com/in/gaidamovic, https://www.linkedin.com/in/jucikas, https://www.linkedin.com/in/juste-damulyte-brookes-fcca-5358351b, https://www.linkedin.com/in/kadiingrid, https://www.linkedin.com/in/kjurgelionis, https://www.linkedin.com/in/zygimantas-susnys-7a493b",
Ironspring,https://www.ironspring.com/,VC,,USA,No,,$100M,"Jun , 2024",,,x,x,$2M,$4M,,,x,,,,,,,,x,x,x,,,,,x,"Our sectors of focus extend across the industrial ecosystem, including construction, transportation, mining & resources, and energy",,
ISAI,http://www.isai.vc/,VC,,France,No,,€90M,Jun. 2019,,x,x,,€400K,€2M,x,,,,,,,,x,,,,,,,x,,x,"IT, digital",,
iSeed Ventures,http://www.iseedvc.com/,VC,,USA,No,--,--,--,x,x,x,,,,,,x,,China,,,,,,,,,x,,,,,,,
iSELECT FUND,http://www.iselectfund.com/,Angel Group,,USA,No,30+,$3.8M,"Jun , 2019",,x,x,x,,,x,x,x,x,x,x,,,x,,,,,x,,x,,,,,
iSGS Investment Works Inc.,https://isgs-iw.com/,VC,,Japan,No,,--,--,,x,,,,,,,,,Japan,,,,x,,,,,,,,,,,,
Island Capital Partners,http://www.peislandcapitalpartners.com/,VC,,USA,Yes,10+,$4.24M,--,x,,,,$150K,$250K,x,x,x,x,x,x,,,x,x,x,x,,x,x,,x,,,,
Isomer Capital,http://www.isomercapital.com/,VC,,UK,No,5+,£72M,"Jun , 2023",,x,x,x,,,x,,,,,,,,x,,x,,,x,,x,,,,,
IT Farm,https://www.it-farm.com/en/portfolio/,VC,,Japan,No,,--,--,x,x,x,,,,x,,x,,Japan,,,,x,,,,,x,x,,,x,"Retail, Security, Enterprise",,
ITR VENTURES,http://www.itrventures.com/,VC,,USA,No,,--,--,,x,x,,$100K,$1M,,,x,,,,,,x,,x,,x,,,,,,"Mobile, IoT, AR/VR, Cybersecurity, Data Analytics, AI/ML, Robotics, 3D Printing, Enterprise, NanoTech",,
J12 Ventures,https://www.j12ventures.com,VC,,Sweden,No,"Dec , 1899",SEK500M,"Jan , 2020",x,x,x,,,,x,,,,,,,,x,,,,,x,,,x,,,,
J2 Ventures,https://www.j2vp.com/,VC,,USA,Yes,20+,$70M,,,X,X,,$250K,$1M,X,,X,,,,,X,X,X,,X,X,X,,,,,,,
Jeito Capital,https://www.jeito.life/,VC,,France,Yes,--,€200M,Jan. 2020,,,x,x,,,x,,,,,,,,,,,,,x,x,,,,,,
JetBlue Ventures,https://www.jetblueventures.com/,VC,,USA,No,,--,--,,x,x,,,,x,x,x,x,x,x,,x,,,,,,,,,,x,Hospitality,"https://www.linkedin.com/in/amydanielsburr, https://www.linkedin.com/in/ariellering, https://www.linkedin.com/in/chouryan, https://www.linkedin.com/in/eliza-dragomir, https://www.linkedin.com/in/jennifer-crusca, https://www.linkedin.com/in/stefansandovalyepes, https://www.linkedin.com/in/stephenreidsnyder","https://www.linkedin.com/in/amydanielsburr/, https://www.linkedin.com/in/ariellering/, https://www.linkedin.com/in/chouryan/, https://www.linkedin.com/in/eliza-dragomir/, https://www.linkedin.com/in/jennifer-crusca/"
JiangMen Ventures,http://thejiangmen.com/en/index,VC,,China,Yes,--,--,--,,x,x,,,,x,x,x,x,x,x,,,x,,x,,,,,,,,IoT,,
JJDC,https://jnjinnovation.com/jjdc,CVC,Johnson&Johnson,USA,No,20+,--,--,,x,x,x,,,x,x,x,x,x,x,,,,,,,,x,x,,,,"Medical devices, consumer healthcare, pharmaceuticals, global public health",,
JME,https://www.jme.vc/,VC,,Spain,No,,€60M,Oct. 2019,,x,x,,,,Spain,,,,,,,x,x,,,x,,,,,,,,,
JOIN Capital,https://www.join.capital/,VC,,Germany,No,,€30M,Nov. 2017,,x,x,,,,x,,,,,,,,x,x,x,,,,,,,x,,,
Jolt Capital,https://jolt-capital.com/,VC,,France,No,,€260M,Sep 2025,,,,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,,,x,x,"Cloud,  Sensors, IoT, Cyber security",,
Joule Ventures,http://www.joulevc.com/,VC,,USA,No,5+,$65M,"Oct , 2019",,x,x,x,,,,x,x,,,,Israeli Founders,,x,,,,,,,,,,"AI/ML, Cloud, Cybersecurity, Enterprise, General DeepTech, General Software, IoT",,
Joy Ventures,https://www.joyventures.com/,VC,,Israel,No,"Jan , 1900",,,x,x,x,,,,x,x,x,x,x,x,,,x,,,,,x,,,,,Focuses exclusively on consumer products for wellbeing,,
Joyance Partners,https://www.joyancepartners.com/,VC,,USA,No,30+,$61M,,X,X,X,,$100K,$500K,X,,X,,,,,,,,,,X,X,X,X,X,,,https://www.linkedin.com/in/mikeedelhart,https://www.linkedin.com/in/mikeedelhart
Joyful Ventures,https://www.joyful.vc/,VC,,USA,No,2+,$23M,"Jun , 2023",x,x,,,,,,,x,x,,,,,,,,,,,,x,x,,Alternative proteins,,
JP Morgan Private Capital,https://am.jpmorgan.com/us/en/asset-management/adv/about-us/media/press-releases/jp-morgan-life-sciences-private-capital-closes-inaugural-biotechnology-venture-fund/,VC/PE,,USA,No,--,$500M,"Jun , 2024",x,x,x,x,,,x,x,x,x,x,x,,,x,,,,,x,x,,,,Life sciences & biotech VC & Growth fund,,
JPIF,http://www.jpifund.com/,VC,,Poland,Yes,5+,--,--,,x,x,x,€500k,€1.5M,x,,,,,,,,,,,,,x,x,,,,,,
JSR Corporation,https://www.jsr.co.jp/jsr_e/,CVC,JSR Corporation,Japan,Yes,--,--,--,,x,x,,,,x,,x,,x,,,,x,,,,x,x,x,,x,,,,
Junction Growth Investors,https://junctiongrowthinvestors.com/,VC,,Europe,No,,€100M,"May, 2022",,,x,x,€5M,€15M,x,,,,,,,,,,,x,,,,,x,,Green Energy,,
Jungle Ventures,https://www.jungle-ventures.com/,VC,,Singapore,No,,$240M,"Dec , 2018",,x,x,,,,,,,,SE Asia,,,,x,,x,,,,,,,,"Enterprise, Consumer",,
JVP,https://www.jvpvc.com/,VC,,Israel,No,,$220M,"Feb , 2019",,x,x,,,,,x,x,x,,,,,,,x,,,,,x,,,"Foodtech, cybersecurity, big data",https://www.linkedin.com/in/erelmargalit,https://www.linkedin.com/in/erelmargalit
Kairos Ventures,https://www.kairosventures.com/,VC,,USA,Yes,50+,$58M,"Jun , 2022",,x,x,x,,,x,x,x,x,x,x,,x,,x,,x,x,x,x,,,,"Life science, Physical science",,
Kaiser Permanente Ventures,https://www.kpventures.com/,CVC,Kaiser Permanente,USA,Yes,60+,$311M,"Dec , 2019",,,,,,,,,,,China,,,,x,,,,,x,,,,,,,
Kakao Ventures,http://www.kakao.vc/,VC,,South Korea,No,,$65M,"Jan , 2018",,x,x,,,,,,,,x,,,,x,,x,,,,,,,x,IT,,
Kalei Ventures,http://www.kaleiventures.com/,VC,,Argentina,No,,--,--,,x,x,,,,,,,,,,Latin America,,x,,x,,,x,,x,,,Generalist,,
Karista,https://www.karista.vc/,VC,,France,Yes,70+,€50M,"Jul , 1905",x,x,x,,€500K,€5M,x,,,,,,,x,x,x,,,x,x,x,,x,x,,,
Karma Ventures,http://www.karma.vc/#start,VC,,Estonia,Yes,10+,€100M,"November, 2021",,,x,,,$3M,x,,,,,,,,x,,,,,,,,,,ICT,"https://www.linkedin.com/in/kristjanlaanemaa, https://www.linkedin.com/in/linda-võeras, https://www.linkedin.com/in/margusuudam, https://www.linkedin.com/in/marianne-k-23b9177a, https://www.linkedin.com/in/riin-vahk, https://www.linkedin.com/in/sijia-du, https://www.linkedin.com/in/stenoitspuu, https://www.linkedin.com/in/tommiuhari",
Katalyst Ventures,https://www.katalyst.ventures/,VC,,USA,No,5+,$47M,"Jan , 2018",,x,,,,,x,x,x,x,x,x,,,x,,,,,x,,,,,"Data Analytics, FinTech",,
KAUST Innovation Fund,https://innovation.kaust.edu.sa/entrepreneurs/kaust-innovation-ventures/,CVC,Kaust,Saudi Arabia,Yes,--,--,--,,x,x,,$200K,$2M,x,,x,,x,,Middle East,,x,x,x,x,,x,x,,x,,,,
KB Investment Co,http://www.kbic.co.kr/main/about,VC,KB,South Korea,No,,$150M,"Jul, 2022",,x,x,,,,,,x,,"India, SEA, South Korea",,,,,,,,,x,x,,,,,,
KBC Focus Fund,https://www.focusfund.be,VC,,Belgium,Yes,,€50M,Jun 2019,,X,X,,€1M,€5M,X,,,,,,,,X,X,X,X,X,,,,,,,,
KdT Ventures,https://www.kdtvc.com/,VC,,USA,Yes,30+,$100M,"Oct, 2024",X,X,X,,$500K,$5M,,,X,,,,,,,,,,,X,X,,X,,Chemicals & Biotech,"https://www.linkedin.com/in/bwillette, https://www.linkedin.com/in/cainmcclary, https://www.linkedin.com/in/kaitlynjdavis, https://www.linkedin.com/in/ketan-yerneni, https://www.linkedin.com/in/mackjhealy, https://www.linkedin.com/in/phil-grayeski-6b423799, https://www.linkedin.com/in/yuddin",
Keen Venture Partners,https://www.keenventurepartners.com/,VC,,Netherlands,No,,€120M,"Nov , 2016",,,x,x,,,x,,,,,,,,x,,,,,,,,,,"Data, SaaS, Digital",https://www.linkedin.com/in/rverwaayen,https://www.linkedin.com/in/rverwaayen
