Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
468 Capital,https://www.468cap.com/,VC,,Germany,No,5+,€170M,"Jun , 2021",x,x,x,,,,x,,x,,,,,,x,x,x,,,,,,,,"AI/ML, Automation","https://www.linkedin.com/in/epallua, https://www.linkedin.com/in/alexanderkudlich, https://www.linkedin.com/in/florianleibert","https://www.linkedin.com/in/epallua, https://www.linkedin.com/in/alexanderkudlich, https://www.linkedin.com/in/florianleibert"
4Bio Capital,https://www.4biocapital.com/,VC,,UK,Yes,5+,$50M,"Sep , 2019",,x,x,x,,,x,,,,,,,,,,,,,x,x,,,,Advanced therapies,"https://www.linkedin.com/in/alexander-mckenna, https://www.linkedin.com/in/andrew-kozlov-6109862, https://www.linkedin.com/in/brian-mcveigh-6562555, https://www.linkedin.com/in/edward-mcgill-21a677122, https://www.linkedin.com/in/eleanor-whate-654386228, https://www.linkedin.com/in/firth-jack, https://www.linkedin.com/in/kieran-mudryy-71991756, https://www.linkedin.com/in/kuzmindmitry, https://www.linkedin.com/in/natalie-johnston-4b10175a, https://www.linkedin.com/in/nurag-a85082366, https://www.linkedin.com/in/owen-smith-50b55b39, https://www.linkedin.com/in/russell-wong-ab0ba715b, https://www.linkedin.com/in/taysalimullah, https://www.linkedin.com/in/therese-liechtenstein-49729918, https://www.linkedin.com/in/vasily-fedorin-16517723",
50 Partners,http://www.50partners.fr/,Accelerator,,France,No,,--,--,,x,,,,,France,,,,,,,,x,,,x,,,,x,x,,"IT, consumer",,
500 Startups,https://500.co/,VC,,USA,No,,--,--,,x,,,,,x,x,x,x,x,x,,,x,,x,,,x,,x,,x,,"https://www.linkedin.com/in/hsuan-yih-shawn-chu-57385b43, https://www.linkedin.com/in/jiun-hsien-lee-69899b66, https://www.linkedin.com/in/amjadahmadvc, https://www.linkedin.com/in/arianne-ren%C3%A9e-dilts, https://www.linkedin.com/in/brinda-dutta-6039902b, https://www.linkedin.com/in/ceciezquerro, https://www.linkedin.com/in/damaris-mendoza-loera, https://www.linkedin.com/in/daniela-p%C3%A9rez-barr%C3%B3n-712286109, https://www.linkedin.com/in/didierquirozceballos, https://www.linkedin.com/in/donnacunanan, https://www.linkedin.com/in/irenish, https://www.linkedin.com/in/james-wu-74b384, https://www.linkedin.com/in/juinshern-tong, https://www.linkedin.com/in/meicheltan, https://www.linkedin.com/in/paulinaszyrmer, https://www.linkedin.com/in/regina-zurutuza-20018b64, https://www.linkedin.com/in/rlomeli88, https://www.linkedin.com/in/santiago-zavala-47a68b7, https://www.linkedin.com/in/-kristen-cooper, https://www.linkedin.com/in/abdulrahman-aljiffry-23834738, https://www.linkedin.com/in/adelyn-c-949b10103, https://www.linkedin.com/in/ai-lin-ng-52347310, https://www.linkedin.com/in/alaaibrahimm, https://www.linkedin.com/in/alaamurabit, https://www.linkedin.com/in/amal-bin-jurays-a65a6b185, https://www.linkedin.com/in/amaldokhan, https://www.linkedin.com/in/amalenan, https://www.linkedin.com/in/ana-uribe-84528b56, https://www.linkedin.com/in/analuciaforero, https://www.linkedin.com/in/anna-saltykova, https://www.linkedin.com/in/arief-bin-johan-alimin, https://www.linkedin.com/in/ashlynbmyers, https://www.linkedin.com/in/atika-french, https://www.linkedin.com/in/bedyyang, https://www.linkedin.com/in/carmenhoong, https://www.linkedin.com/in/carolina-acosta-tovany, https://www.linkedin.com/in/carrieliauw, https://www.linkedin.com/in/charlotte-odell-0070ab70, https://www.linkedin.com/in/chrissyhu, https://www.linkedin.com/in/christine-chan-ee-yin-0b691894, https://www.linkedin.com/in/christinesltsai, https://www.linkedin.com/in/christophferguson, https://www.linkedin.com/in/claytonbryan, https://www.linkedin.com/in/courtneyjpowell, https://www.linkedin.com/in/cynthiaylchin, https://www.linkedin.com/in/daif-alrajhi, https://www.linkedin.com/in/daniela-malagon-alonso-76b88241, https://www.linkedin.com/in/demolaadegbite, https://www.linkedin.com/in/eileen-liew-bba8817a, https://www.linkedin.com/in/emily-lozano-ops, https://www.linkedin.com/in/emilyprintz, https://www.linkedin.com/in/emma-kelly21, https://www.linkedin.com/in/felicia-chia, https://www.linkedin.com/in/gemma-e-277605156, https://www.linkedin.com/in/grace-t-52685a221, https://www.linkedin.com/in/halina-jael-abu-bakar-b821a3128, https://www.linkedin.com/in/jakeclawson, https://www.linkedin.com/in/jamie-soo, https://www.linkedin.com/in/jeff-k-matsuda, https://www.linkedin.com/in/jenny-chin-sian-theng-290a0317b, https://www.linkedin.com/in/joanna-goh-a9a954a1, https://www.linkedin.com/in/justin-koo-cfa, https://www.linkedin.com/in/kaavya-gowda-294247b4, https://www.linkedin.com/in/karengvillanueva, https://www.linkedin.com/in/katerina-zlobina-2709821b7, https://www.linkedin.com/in/kevinwinsenchandra, https://www.linkedin.com/in/khailee, https://www.linkedin.com/in/kratingpoonpol, https://www.linkedin.com/in/leonardelee, https://www.linkedin.com/in/liamdigan, https://www.linkedin.com/in/liane-c-k-affy, https://www.linkedin.com/in/luisignaciocc, https://www.linkedin.com/in/lyndylien, https://www.linkedin.com/in/ma-ruf-muhammad-fajrin-8ba584111, https://www.linkedin.com/in/marcela-olivares-4b2b5311a, https://www.linkedin.com/in/melfauzi, https://www.linkedin.com/in/mercadojamp, https://www.linkedin.com/in/min-kim-00662232, https://www.linkedin.com/in/minnieang, https://www.linkedin.com/in/mirandagahagan, https://www.linkedin.com/in/misaki-majima-15089222a, https://www.linkedin.com/in/mohammad-khdair-cma, https://www.linkedin.com/in/monique-arnold-30491b11b, https://www.linkedin.com/in/mostafa-salem-191a5a159, https://www.linkedin.com/in/myerschristina, https://www.linkedin.com/in/naranpatthi, https://www.linkedin.com/in/natavudh, https://www.linkedin.com/in/nickdavison, https://www.linkedin.com/in/nico-gamboa-836663346, https://www.linkedin.com/in/noemi-vera, https://www.linkedin.com/in/nour-akiel-947b68194, https://www.linkedin.com/in/oksanavodonos, https://www.linkedin.com/in/pahrada-mameaw, https://www.linkedin.com/in/paulcabrera123, https://www.linkedin.com/in/pauleyoo, https://www.linkedin.com/in/perthkrungkraipetch, https://www.linkedin.com/in/pichetpatchandrema, https://www.linkedin.com/in/pohsoon, https://www.linkedin.com/in/ramasworupha-nair-257792191, https://www.linkedin.com/in/reem-khamis, https://www.linkedin.com/in/samanthakiel, https://www.linkedin.com/in/santosvieira, https://www.linkedin.com/in/shahrilibrahim, https://www.linkedin.com/in/sheila-reyna-flores-5a6385115, https://www.linkedin.com/in/shill515, https://www.linkedin.com/in/stephaniecobos, https://www.linkedin.com/in/suzianak, https://www.linkedin.com/in/tonywang1, https://www.linkedin.com/in/victor-nge-jik-shern, https://www.linkedin.com/in/vishalharnal, https://www.linkedin.com/in/weixensoon, https://www.linkedin.com/in/yeeshimtan, https://www.linkedin.com/in/yileenkoh",https://www.linkedin.com/in/christinesltsai
55 North,https://www.55n.vc/,VC,,Scotland,No,,€300M,"Oct , 2025",,x,x,x,,,x,,,,,,,,x,,,,,,,,,,Quantum,,
5AM Ventures,https://5amventures.com/,VC,,USA,Yes,60+,$750M,"Apr , 2022",,,x,x,,,x,,x,,,,,,,,,,,x,x,,,,,,
645 Ventures,https://645ventures.com/,VC,,USA,No,,$41M,Aug. 2018,,x,x,,,,,,x,,,,,,x,,,,,,,,,,"SaaS, Infrastructure & security, Consumer","https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/nnamdiokike","https://www.linkedin.com/in/aholidayiii, https://www.linkedin.com/in/nnamdiokike"
7percent Ventures,http://7pc.co/,VC,,UK,No,,€36M,Dec. 2019,x,x,x,,$75K,$1M,x,,x,,,,,x,x,x,x,x,x,x,x,x,x,x,,,
8090 Industries,https://www.8090industries.com/,VC,,USA,No,,$100M,"Jun , 2024",,x,x,x,,,,,x,,,,,,,,x,x,x,,,,,,,,
83North,http://www.83north.com/,VC,,UK,No,5+,$400M,"Oct , 2022",,,x,x,,,x,x,x,,,,,,x,x,x,,,x,,,x,x,"Hardware, SaaS, IT","https://www.linkedin.com/in/laurel-bowden-3a869b, https://www.linkedin.com/in/yoramsnir, https://www.linkedin.com/in/gil-goren-707785155, https://www.linkedin.com/in/erezofer",https://www.linkedin.com/in/laurel-bowden-3a869b
