id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,favoriteAddress,addresses,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,investment,linkedin-private-codex,linkedin-private-claude
7b92d7df-9e61-4e22-98fc-05a61d97c43c,Saran,Chatterjee,person,Product/Business Leadership Consultant/Advisor,,https://www.linkedin.com/in/saran-chatterjee-732a1a,https://www.linkedin.com/in/saran-chatterjee-732a1a,,,Housejoy,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,3,https://www.linkedin.com/in/saran-chatterjee-732a1a,https://www.linkedin.com/in/saran-chatterjee-732a1a
7e091df8-f2ec-43eb-a579-dcd33c971796,Noble,Binoy,person,"Growth & Revenue Management, Prime Video SEA",,https://www.linkedin.com/in/noblebinoy,https://www.linkedin.com/in/noblebinoy,,,Amazon,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,1,https://www.linkedin.com/in/noblebinoy,https://www.linkedin.com/in/noblebinoy
7eccc51b-b534-427e-91f4-6e03aeedda46,Benjamin,Weiss,person,Venture Partner,,https://www.linkedin.com/in/benjamin-weiss-66814922,https://www.linkedin.com/in/benjamin-weiss-66814922,,,SBVA,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.274Z,Mirza Asceric,Hong Kong SAR,11,https://www.linkedin.com/in/benjamin-weiss-66814922,https://www.linkedin.com/in/benjamin-weiss-66814922
7ed71248-b1fb-4a3c-8fa6-29aec39829d7,David,Toh,person,Partner,,https://www.linkedin.com/in/davidtyh,https://www.linkedin.com/in/davidtyh,,,Mirana Ventures,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Singapore,12,https://www.linkedin.com/in/davidtyh,https://www.linkedin.com/in/davidtyh
80a11c15-88f5-4082-9666-b40e2ec15101,Pawan,Singh,person,Sr Director Operations,,https://www.linkedin.com/in/pawanpratapsingh,https://www.linkedin.com/in/pawanpratapsingh,,,Intelegencia,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,Philippines,1,https://www.linkedin.com/in/pawanpratapsingh,https://www.linkedin.com/in/pawanpratapsingh
820dd8b3-ce55-45f6-8116-b7d33bc128e8,Pranav,Marwah,person,CEO,,https://in.linkedin.com/in/pranavmarwah,https://in.linkedin.com/in/pranavmarwah,,,thinQbate,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,13,https://www.linkedin.com/in/pranavmarwah,"https://in.linkedin.com/in/pranavmarwah, https://www.linkedin.com/in/pranavmarwah"
829d29a5-87ef-4d1b-85d7-d5d967fc6385,Sharil,Tarmizi,person,Fellow,,https://www.linkedin.com/in/sharil-tarmizi-494b23b4,https://www.linkedin.com/in/sharil-tarmizi-494b23b4,,,Zico Advisory,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Malaysia,3,https://www.linkedin.com/in/sharil-tarmizi-494b23b4,https://www.linkedin.com/in/sharil-tarmizi-494b23b4
82d4a760-2a83-45e5-9808-f92f9c275d7f,David,Yuan,person,Founder and Managing Partner,,https://www.linkedin.com/in/dayuan,https://www.linkedin.com/in/dayuan,,,Redpoint China Ventures 红点创投中国基金,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:23.191Z,Mirza Asceric,China,26,https://www.linkedin.com/in/dayuan,https://www.linkedin.com/in/dayuan
841ef86c-01cf-4859-9399-100e78ae5b78,Zhang,Chong Yuan,person,Investor at Plus500™,,https://www.linkedin.com/in/zhang-chong-yuan-810717152,https://www.linkedin.com/in/zhang-chong-yuan-810717152,,,,0,"Data Investors In Asia ,Gen AI Investors In Asia",2026-02-15T20:35:05.477Z,Mirza Asceric,2026-02-15T20:38:25.138Z,Mirza Asceric,Singapore,2,https://www.linkedin.com/in/zhang-chong-yuan-810717152,https://www.linkedin.com/in/zhang-chong-yuan-810717152
8495345d-d372-4cd3-8ed7-83bcf8a7b6fe,Akshatt,Pandey,person,Founder & CEO,,https://www.linkedin.com/in/akshatt-k-pandey-3ba68414,https://www.linkedin.com/in/akshatt-k-pandey-3ba68414,,,Patel G Tech Llp -Formerly Patel Information Technology Services,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,1,https://www.linkedin.com/in/akshatt-k-pandey-3ba68414,https://www.linkedin.com/in/akshatt-k-pandey-3ba68414
87c862a9-f23b-4cac-872c-ce6f522e3138,Abhishek,Shah,person,Co-Founder & CEO,,https://www.linkedin.com/in/abhinshah,https://www.linkedin.com/in/abhinshah,,,Wellthy Therapeutics,0,Gen AI Investors In Asia,2026-02-15T20:38:20.794Z,Mirza Asceric,2026-02-15T20:38:20.794Z,Mirza Asceric,India,9,https://www.linkedin.com/in/abhinshah,https://www.linkedin.com/in/abhinshah
8a1129e9-f31d-46b1-a936-0801c201df12,Ganesh,Rengaswamy,person,Managing Partner,"FInTech Asia 100; Co-founder Quona Capital; Investor/Board: ZestMoney, IndiaMart, NeoGrowth, Koinworks, Fisdom, Sunday",https://www.linkedin.com/in/ganeshrengaswamy,https://www.linkedin.com/in/ganeshrengaswamy,,,Quona Capital,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,11,https://www.linkedin.com/in/ganeshrengaswamy,https://www.linkedin.com/in/ganeshrengaswamy
8adb7d9f-3221-4683-8b49-a63a0d5f1d52,Adit,Swarup,person,"Partner, Rakuten Ventures",,https://www.linkedin.com/in/aditswarup,https://www.linkedin.com/in/aditswarup,,,Rakuten,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,Singapore,6,https://www.linkedin.com/in/aditswarup,https://www.linkedin.com/in/aditswarup
8d343ba7-991f-4d01-ba14-558f3cec73db,Bhavik,Koladiya,person,CEO,Co-founder at BharatPe (Product & Engineering),https://www.linkedin.com/in/koladiya,https://www.linkedin.com/in/koladiya,,,OTPLESS,0,Gen AI Investors In Asia,2026-02-15T20:38:22.995Z,Mirza Asceric,2026-02-15T20:38:22.995Z,Mirza Asceric,India,10,https://www.linkedin.com/in/koladiya,https://www.linkedin.com/in/koladiya
