id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoriteAddress,addresses,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Countries of Investment,Stage of Investment,linkedin-private-codex,linkedin-private-claude
d574e22d-a955-45a9-ba39-624e7afb7700,Praetura Ventures,company,,,,https://www.praeturaventures.com/,https://www.praeturaventures.com/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,"3. Early Revenue,5. Growth,4. Scaling","https://www.linkedin.com/in/greenecolin, https://www.linkedin.com/in/david-foreman-praetura, https://www.linkedin.com/in/emmaashdown, https://www.linkedin.com/in/jonathan-prescott-44b6454a, https://www.linkedin.com/in/louise-chapman-uk, https://www.linkedin.com/in/mark-slade-32b3098, https://www.linkedin.com/in/michael-mannion-7243ba63, https://www.linkedin.com/in/peter-carway-2aa9812a, https://www.linkedin.com/in/sim-singh-landa-a477b657, https://www.linkedin.com/in/stephen-green-0226b565, https://www.linkedin.com/in/thomas-hardman-11309173, https://www.linkedin.com/in/caroline-flagg-5aaa9314, https://www.linkedin.com/in/james-rochfort-2896194b, https://www.linkedin.com/in/peter-marsland-72794230","https://www.linkedin.com/in/greenecolin, https://www.linkedin.com/in/david-foreman-praetura/, https://www.linkedin.com/in/emmaashdown/, https://www.linkedin.com/in/jonathan-prescott-44b6454a/, https://www.linkedin.com/in/louise-chapman-uk/"
303237c6-547b-4fc3-9578-141fd3fc8913,Redline Capital,company,,"Redline Capital Management manages a Luxembourg based, regulated fund, investing in Tech companies across North America, Europe & Israel.",,https://www.redline-capital.com/,https://www.redline-capital.com/,,,"All VCs ,All VCs ,All VCs ,+100 best VC Funds in UK 🇬🇧",2026-02-15T19:35:01.523Z,Mirza Asceric,2026-02-15T20:29:03.911Z,Mirza Asceric,"USA,Israel,Canada,UK",3. Early Revenue,,
8ef2f12a-a76b-4d8f-9be7-701035c1c640,Rivers Capital Partners,company,,,,http://www.riverscap.com/about/about-us/,http://www.riverscap.com/about/about-us/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,3. Early Revenue,,
11547795-778c-4dbd-8d1f-43801e442719,Ruffena Capital,company,,,,https://www.ruffena.co.uk/,https://www.ruffena.co.uk/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,UK",3. Early Revenue,,
faac4ae5-c1ad-4030-9566-666c7bac8a2f,Saola Ventures,company,,,,https://www.saola.ventures/,https://www.saola.ventures/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:03.788Z,Mirza Asceric,2026-02-15T20:29:03.868Z,Mirza Asceric,"Germany,USA,France,UK",3. Early Revenue,,
59cf775c-3437-4429-bfb8-9d8d5db42824,Scottish Equity Partners,company,,,,https://www.sep.co.uk/,https://www.sep.co.uk/,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,,,
25ed7683-b147-4fab-97cf-438afab87a37,SC Ventures Fintech Bridge by Standard Chartered,company,,,,https://fintechbridge.scventures.io/public/homepage,https://fintechbridge.scventures.io/public/homepage,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"USA,Israel,Canada,UK",3. Early Revenue,,
2be9902b-fb73-49a9-a2fd-0e796a0c59e1,SeedReady,company,,,,https://www.seedready.org,https://www.seedready.org,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,UK,1. Idea or Patent,,
b0be7d28-cdc7-4f2c-b9b0-4722a23d4d8a,Simsan Ventures,company,,,,https://simsan.vc,https://simsan.vc,,,+100 best VC Funds in UK 🇬🇧,2026-02-15T20:29:02.297Z,Mirza Asceric,2026-02-15T20:29:02.657Z,Mirza Asceric,"Germany,India,Denmark,Switzerland,Estonia,France,Sweden,Spain,UK,South Korea,Netherlands","3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling",,
ae42c6d5-6854-4aae-abcc-d35b0728ad87,Sova VC,company,,,,https://sova.vc/,https://sova.vc/,,,"All VCs ,All VCs ,All VCs ,+100 best VC Funds in UK 🇬🇧",2026-02-15T19:35:11.205Z,Mirza Asceric,2026-02-15T20:29:03.008Z,Mirza Asceric,"Norway,Denmark,Estonia,Finland,Sweden,Ireland,UK","3. Early Revenue,5. Growth,4. Scaling",,
