Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
BCVP Bull City Venture Partners,VC,USA,201 West Main Street Suite 100 PMB 205  Durham NC 27701,💻 Software,$100k to $5M,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in Software, Internet, Mobile, Health IT and E-Commerce   GEOGRAPHY.  We are located in Durham, North Carolina. Because of that, most of the activity we see is in the Southeast and Mid-Atlantic regions. But we will consider any great entrepreneur.  STAGE.  We are seed and early stage investors and often that means we are the first institutional investor. But when there is an exceptional opportunity, we will be opportunistic and invest in growth stage companies.   TEAM APPROACH. The partners have worked together for over 18 years through four funds. We continue to take a team approach to venture investing. One of us may lead an investment, but all our companies get the full support from our team and Advisory Board.   ﻿HUSTLE. We are also known for our high level of services which stretches into late nights and weekends. We hope to work as hard as our entrepreneurs. We cultivate a network at major technology companies to assist our companies with product feedback, partnerships and customer relationships. Our goal is to help accelerate time-to-market and help test ideas for young companies. We are just as active connectors with introductions to co-investors and talent.   FOCUSED PORTFOLIO. We have one of the best partner-to-company ratios in the VC business. This allows us to add more value to each company. This also means each company is important to us. Our focused portfolio also leads to increased alignment with our entrepreneurs.   HUMBLE.  We are constantly reminded that without the entrepreneurs selecting us, we go out of business. We have an incredible respect for the entrepreneurial experience. We continue to work towards earning the respect of the entrepreneurial community.",https://www.linkedin.com/company/bull-city-venture-partners/,https://www.bcvp.com,
Credo Ventures,VC,"Czech Republic,Slovakia,Poland,Romania,Hungary,Slovenia,Croatia,Serbia","Karlovo nam 10, Prague 2, 12000, CZ","🔬 Deep Tech,💻 Software",$50k to $2M,3. Early Revenue,We invest in early-stage startups with ties to Central and Eastern Europe,https://www.linkedin.com/company/credo-ventures/,https://www.credoventures.com,
Astella Investimentos,VC,Brazil,"R. Prof. Artur Ramos 241, São Paulo-SP, Brazil","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware",$500k to $5M,"3. Early Revenue,4. Scaling",We invest in Brazil-based entrepreneurs building technology startups.,https://www.linkedin.com/company/astella-investimentos/,http://astellainvest.com/,
Ring Capital,VC,France,"2 rue Favart, 75002 Paris","💻 Software,🔬 Deep Tech",$3.5M to $18M,5. Growth,We invest by acquiring minority interests of 3M€ to 15M€ in tech and digital companies with an annual turnover of minimum 5M€  to help them grow and scale through internationalisation and external growth.,https://www.linkedin.com/company/ring-cp/,http://www.ringcp.com/home,
Leonard,Corporate VC,France,"6 place du Colonel Bourgoin, Paris, 75012, France","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech",$70k to $70k,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups solving the challenges of future cities in the verticals of construction, real estate, energy and mobility",https://www.linkedin.com/company/weareleonard/,https://leonard.vinci.com,
Dutch Founders Fund,VC,"Netherlands,Germany,France,Spain,UK,Sweden,Finland,Norway,Denmark,USA,Slovenia,Croatia,Portugal,Iceland,Belgium","Fred. Roeskestraat 115, 1076 EE Amsterdam","💻 Software,🔬 Deep Tech",$100k to $1.5M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in tech-enabled B2B companies, with a focus on marketplaces, platforms and SaaS models.",https://www.linkedin.com/company/dutchfounders-fund/,https://dutchfoundersfund.com/,
Okta Ventures,Corporate VC,"USA,Israel,UK","100 First Street, Suite 600, San Francisco, CA, USA",💻 Software,$200k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in identity, privacy, and security startups",https://www.linkedin.com/company/okta-inc-/,https://www.okta.com/okta-ventures/,
Anthemis,VC,"USA,Israel,Canada,UK,Germany,France,Spain,Switzerland","3rd Floor, 25 Soho Square, London, W1D 3QR, UK","🔬 Deep Tech,💻 Software",$500k to $5M,3. Early Revenue,"We invest in early stage companies changing the future of finance (Pre-seed to Series A). We focus on FinTech and InsurTech investments, but our thesis revolves around the idea of embedded finance, which means we look at other areas like mobility, health and agriculture.",https://www.linkedin.com/company/anthemis-group-sa/,https://www.anthemis.com/,
Creative Thinking Ventures,VC,"France,Italy","8, avenue Victor Hugo, Albertville, 73200, France","💻 Software,📱 Consumer hardware",$5k to $50k,"1. Idea or Patent,2. Prototype",We invest in the very early stages of start-ups. Pre-seed or seed only. We create value by developing customer-focused creativity.,https://www.linkedin.com/company/creative-thinking-ventures/,http://creativethinking.ventures/it/index.aspx,
Candid Insurance Investors,Angel network,USA,"New York City, NY US",💻 Software,$50k to $10M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in US-based insurtech (or just insurance) companies at any stage. The earlier, the better. Mostly focused on the property-casualty sector.   We are an angel network of major US insurance company CEO's.",https://www.linkedin.com/company/candid-insurance-investors,https://www.candidinvestors.com/,
Shine Capital,VC,"USA,UK,Israel","New York, NY, USA",💻 Software,$50k to $6M,"3. Early Revenue,2. Prototype",We invest in relentlessly creative entrepreneurs who are transforming how we live and work.,https://www.linkedin.com/company/shinecapital/,https://www.shine.vc,
Leaders Fund,VC,"Canada,USA,Israel","20 Eglinton Ave W, Toronto, Ontario M4R 1K8, CA",💻 Software,$5M to $20M,"3. Early Revenue,4. Scaling,5. Growth",We invest in B2B SaaS companies across North America and Israel.,https://www.linkedin.com/company/leaders-fund/,https://www.leaders.vc/,
Peak Capital,VC,"Netherlands,Belgium,Luxembourg,Germany,Austria,Switzerland,Sweden,Finland,Norway,Denmark,Iceland,Poland,Portugal","Weesperplein 4B, 1018 XA Amsterdam, Netherlands",💻 Software,$250k to $3.5M,"2. Prototype,4. Scaling,3. Early Revenue","We invest in SaaS and Platform/Marketplaces businesses in NW-Europe. Our sweetspot is companies that have some revenue, and are getting ready to scale beyond founder sales. Opportunistically we do pre-revenue/pre-product deals. No sector/industry focus. Our value add comes from deep understanding of the SaaS and marketplace dynamics.",https://www.linkedin.com/company/peak-capital,https://www.peak.capital,
365.fintech,VC,"Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia","🔬 Deep Tech,💻 Software",$50k to $500k,"3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large.",https://www.linkedin.com/company/365-fintech,https://www.365fintech.vc/,
Capnamic,VC,"Germany,Austria,Switzerland","Kaiser-Wilhelm-Ring 26, Cologne, NRW 50672, DE","🔬 Deep Tech,💻 Software",$500k to $3.6M,3. Early Revenue,We invest in markets and industries characterized by high growth and technological innovation; we believe that disruption is driven by digital transformation.,https://www.linkedin.com/company/capnamic-ventures/,https://capnamic.com/,
Episode 1,VC,UK,"112-116 New Oxford Street, 4th Floor, London, WC1A 1HH, GB","🔬 Deep Tech,💻 Software",$300k to $3M,"3. Early Revenue,2. Prototype",We invest in UK-based B2B software startups at pre-seed and seed stage.,https://www.linkedin.com/company/episode-1-ventures,https://www.episode1.com,
