Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Stride.VC,VC,"UK,France","35 Portman Square, London, England GB",💻 Software,$250k to $5M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest pre-traction in hyper ambitious founders who want to reshape their industry.  We prefer whiteboards to boards.   Dissenters welcome.,https://www.linkedin.com/company/stride-vc,https://stride.vc/,
Form Life Ventures,VC,"USA,Israel,UK,Germany","377 Collingwood Street, CA 94114","📱 Consumer hardware,💻 Software,🌡 Medical hardware,💊 Therapeutics",$500k to $2M,"3. Early Revenue,4. Scaling","We invest in tech-enabled health, wellness, and longevity companies to keep people healthy.",https://www.linkedin.com/company/formlife,https://www.form.life/,
Forward Partners,VC,UK,"Aurora Building, 124 East Road, London, London N1 6FD, GB",💻 Software,$300k to $3M,"3. Early Revenue,1. Idea or Patent,2. Prototype","We invest in applied AI, ecommerce and marketplaces",https://www.linkedin.com/company/forward-partners-uk/,https://forwardpartners.com/,
FF Venture Capital,VC,"Ireland,USA,Canada,Estonia,Mexico,Poland,UK","350 5th Avenue, Suite 4215, New York, NY 10028, United States","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🔬 Deep Tech",$100k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in technology or technology enabled startups at valuations up to 12M post-money.,https://www.linkedin.com/company/ff-venture-capital,https://www.ffvc.com/,
IBB Ventures,Public fund,Germany,"Bundesallee 210, 10719 Berlin, Germany","💊 Therapeutics,🔬 Deep Tech,🌡 Medical hardware,⚙️ Enterprise hardware,💻 Software,📱 Consumer hardware",$200k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Berlin companies.   If you are a founding team from Berlin who wants to realize an idea and is looking for an investor who contributes more than just money, then IBB Ventures is the right investor for you!",https://www.linkedin.com/company/ibb-beteiligungsgesellschaft-mbh/,https://www.ibbventures.de/en,
Monochrome Capital,VC,"USA,Canada,Israel,UK","San Francisco CA 94114, USA","💻 Software,🔬 Deep Tech",$250k to $750k,"2. Prototype,3. Early Revenue",We invest in early-stage software and AI-driven startups that are solving the toughest business challenges.,https://www.linkedin.com/company/monochromevc,http://www.monochrome.vc/,
Lea Partners,VC,"Germany,Switzerland,Austria","An der RaumFabrik 10, Karlsruhe, 76227, DE","🔬 Deep Tech,💻 Software",$1M to $5M,"3. Early Revenue,4. Scaling",We invest in software and deep-tech companies that challenge the status quo by building 10x better solutions or disrupting the market. Product-Market fit with traction needed.,https://www.linkedin.com/company/l-ea-private-equity-gmbh,https://www.leapartners.de/en/,
Angels' Bay Invest,Angel network,France,"c/o Data ScienceTech Institute Les Templiers 950 Route des Colles, Sophia-Antipolis 06410 Biot, France","💻 Software,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$70k to $150k,"2. Prototype,3. Early Revenue,4. Scaling","We invest in young innovative French start-ups with an international ambition. We are looking for companies, mainly in B2B, which are solving key issues for businesses, environnement, or the society. We invest from $70k to $150k at early stage.",https://www.linkedin.com/groups/12109979/,https://angelsbay.net/,
Grouport Ventures,VC,"Czech Republic,Poland,Slovakia,Hungary,Australia,Lithuania,Switzerland,Latvia,Estonia,Bulgaria,Belarus,Croatia,Slovenia","Plynární 10, Česká Republika 11000, CZ","💻 Software,🔬 Deep Tech",$40k to $270k,"2. Prototype,3. Early Revenue",We invest in CEE/Baltics based seed startups with the 1. MVP done 2. first validation/traction 3. founders with warriors DNA. We are focusing on deep tech/fin-tech/marketplaces ; B2B/B2C/B2B2C business models.,https://www.linkedin.com/company/grouport/,https://www.grouport.cz/en,
Manifold Ventures,VC,"USA,Canada","118 N Peoria St., Chicago, Illinois 60607, US","💻 Software,📱 Consumer hardware,🔬 Deep Tech,⚙️ Enterprise hardware",$250k to $1M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, North American companies.  For most venture funds, ""value-added"" means a couple of intros to potential customers or talent. At Manifold, it means we do whatever it takes to help you become successful.  Our team of serial entrepreneurs and technologists truly understands the challenges you’re facing and can help you identify the most efficient strategies to grow your business. When needed, we can even step in to inject key resources or take on critical projects to move you forward.  We don’t hold our checks until you don’t need them anymore. Because we’re able to get into the nitty-gritty of your strategy and business model, we take more calculated risks earlier on, when you need capital most.",https://www.linkedin.com/company/founderequity/,https://www.manifold.group/ventures,
Morro Ventures,VC,"Argentina,Brazil,Chile,Colombia,Mexico,USA","206 Calle Tetuan, Suite 903, San Juan, PR 00902, United States",💻 Software,$100k to $1M,"3. Early Revenue,4. Scaling","We invest in technology companies across Latin America, particularly those that operate in or can leverage Puerto Rico as a platform for cross-border growth. The fund targets regionally scalable tech companies with existing ARR between $250k and $750k.",https://www.linkedin.com/company/morro-ventures/,https://morroventures.com/,
Vendep Capital,VC,"Finland,Sweden,Denmark,Estonia,Latvia,Lithuania","Keilaranta 8, Espoo, Finland",💻 Software,$600k to $1.2M,4. Scaling,We invest in SaaS startups across Nordics and Baltics.,https://www.linkedin.com/company/vendepcapital/?originalSubdomain=fi,https://www.vendep.com/,
MAIF Avenir,Corporate VC,France,"156 rue de l'université, 75007 Paris","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech",$500k to $7M,"3. Early Revenue,4. Scaling,5. Growth","We invest in European start-ups, mostly in series A companies (€80k+ MRR). We are sector agnostic but we love: HR Tech, Medtech, Circular Economy, AI-driven models.",https://www.linkedin.com/company/maif-avenir/,https://www.maif-avenir.fr/,
Cuir Invest,VC,France,"14 bd de la Madeleine, Paris , 75008, FR",💻 Software,$100k to $500k,3. Early Revenue,"We invest in French leather goods or footwear startups, whether brands, platforms or enablers",https://www.linkedin.com/company/cuir-invest/,https://cuir-invest.com/,
Progress Tech Transfer,VC,Italy,"Via Turati 40 20121 Milan, Italy","🔬 Deep Tech,🌡 Medical hardware,⚙️ Enterprise hardware,📱 Consumer hardware",$500k to $1.5M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in startup with focus in sustainable tech B2B   We invest in sustainable technologies from research of Italian universities and public research organizations, start-ups, spin-offs, and visionary entrepreneurs.   We mainly invest in Italy, with Italian founders, and/or relations with Italian universities.",https://www.linkedin.com/company/progress-tech-transfer-fund/,https://www.progressttfund.it/,
Cavalry Ventures,VC,"Germany,UK,Ireland,Netherlands,Switzerland,USA,Belgium,Austria,Finland,Estonia,Iceland","Novalisstraße 12, Berlin, Berlin 10115, Germany","💻 Software,🔬 Deep Tech",$600k to $1.8M,"1. Idea or Patent,2. Prototype",We invest in software businesses across Europe - We like to lead financing rounds and leave room open to complement the rounds with great angels - We do priced rounds and convertibles - We are interested in consumer/B2C as well as enterprise/B2B,https://www.linkedin.com/company/cavalry-ventures/,https://cavalry.vc/,
Intonation Ventures,VC,"USA,Canada,UK,China","447 Broadway 2FL, New York, NY, 10013, USA",💻 Software,$25k to $250k,"2. Prototype,3. Early Revenue","We invest $25k-$250k in early-stage consumer startups in North America and China. At Intonation, we invest in products that bring people joy. We see the steady decline in the world's happiness index as one of our biggest challenges. We'd love to back teams and products that bring smiles back, either through facilitating authentic social connections, creating fun digital/IRL experiences, enabling easier content creation, or many more. If you are doing just that, please let us know - we'd love to chat!",https://www.linkedin.com/company/intonation-ventures/,https://www.intonationventures.com/,
EQx Fund,VC,"USA,Canada","100 State Street, Boston, MA 02109","💻 Software,🌡 Medical hardware,💊 Therapeutics,🔬 Deep Tech",$50k to $100k,"2. Prototype,3. Early Revenue,4. Scaling",We invest in technology and life science startups with incredible management teams known as leaders in their field directly or through our partners angel group  the Boston Harbor Angels.,https://www.linkedin.com/company/eqx-fund,https://eqxfund.com/,
Bread and Butter Ventures,VC,"USA,Canada","370 Wabasha St,  St. Paul MN 55102",💻 Software,$250k to $750k,"3. Early Revenue,2. Prototype,4. Scaling","We invest in companies innovating in three essential backbone sectors of our economy: food/ag tech, health tech, and enterprise SaaS.",https://www.linkedin.com/company/bread-and-butter-ventures/,https://www.breadandbutterventures.com/,
Kibo Ventures,VC,"Spain,Portugal,USA,Germany,UK","Calle Zurbano 34, 28010 Madrid",💻 Software,$2M to $4.5M,"3. Early Revenue,4. Scaling","We invest in digital consumer and enterprise software.   Since 2011, we have invested in 50+ companies including Flywire, JobandTalent, Carto, Devo, DefinedCrowd, Tier, Bipi, Paack and Clarity.ai",https://www.linkedin.com/company/kibo-ventures/,http://kiboventures.com/,"https://www.linkedin.com/in/edvinaskiskis, https://www.linkedin.com/in/afresnillo, https://www.linkedin.com/in/alvarolozano1, https://www.linkedin.com/in/aquilinopena, https://www.linkedin.com/in/fernandodiazsolis, https://www.linkedin.com/in/guillermo-alvarez-96443095, https://www.linkedin.com/in/ignacio-pallás-84352b25, https://www.linkedin.com/in/jaimegervasnieto, https://www.linkedin.com/in/jmgasalla, https://www.linkedin.com/in/pablo-campos-118a4b6, https://www.linkedin.com/in/reyes-rubio-roa-030914122, https://www.linkedin.com/in/vicentevazquezbouza, https://www.linkedin.com/in/aallendez, https://www.linkedin.com/in/covadonga-garc%C3%ADa-vald%C3%A9s-ba6800105, https://www.linkedin.com/in/gonzalo-s%C3%A1nchez-arjona-12a210a, https://www.linkedin.com/in/ignacio-alfeiran-peñalosa-b02442261, https://www.linkedin.com/in/inma-g-serrano-63aaa3ab, https://www.linkedin.com/in/javier-torremocha, https://www.linkedin.com/in/jessaade, https://www.linkedin.com/in/jmamusategui, https://www.linkedin.com/in/joaquinrebuelta, https://www.linkedin.com/in/jordividaldearanavc, https://www.linkedin.com/in/joseguardomedina, https://www.linkedin.com/in/juanlopezsantamaria, https://www.linkedin.com/in/lucía-sáenz-galán, https://www.linkedin.com/in/mar%C3%ADa-rosillo-tr%C3%A9nor-3323a594, https://www.linkedin.com/in/miguelgovies, https://www.linkedin.com/in/soniafernandez, https://www.linkedin.com/in/sunirkapoor, https://www.linkedin.com/in/valeria-loewe-2b0279"
Monozukuri Ventures,VC,"Japan,USA","Kyoto Research Park, 93 Chudoji Awata-cho, Shimogyo-ku, Kyoto, 600-8815, Japan","🌡 Medical hardware,📱 Consumer hardware",$100k to $500k,"2. Prototype,3. Early Revenue","We invest to help hardware startups cover prototyping fees. We co-invest with incubators, accelerators and VCs, and have an efficient due diligence process that will result in funding a first round of manufacturing. We also provide business management consulting and advisory services to those in whom we invest. Investing in 10-15 hardware startups per year, with a typical check ranging from USD 100K to 300K at first, with a chance to follow investment up to USD 1M accumulate. We’re focused on funding entrepreneurs in the fastest growing industries: robotics, AI, clean energy, wearables, space tech, IoT, healthcare, smart home and more. We provide financing services such as equity investment and debt financing. For example, we invest in common stock, preferred stock, convertible note, SAFE and KISS.",https://www.linkedin.com/company/monozukuriventures,https://monozukuri.vc/,
Artesian,VC,"Australia,China,New Zealand,Indonesia,Singapore","66 Hunter St, Sydney, New South Wales 2000, AU","🌡 Medical hardware,📱 Consumer hardware,💻 Software,⚙️ Enterprise hardware",$50k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in startups operating in Australia, New Zealand, South East Asia, and China.  Artesian trusts in math not magic. We recognise there are multiple paths to startup success. Capital-lite startups exiting to corporates at 500 startup investments), we are equally active in late-stage VC investments as any of our traditional VC peers.",https://www.linkedin.com/company/artesian-capital-management/,https://www.artesianinvest.com/overview-vc,
2048 Ventures,VC,"USA,Canada","New York, NY 10001, USA","🔬 Deep Tech,🌡 Medical hardware,⚙️ Enterprise hardware,📱 Consumer hardware,💻 Software",$300k to $600k,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks.    First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the space they are building in.   We look for companies that are differentiated and defensible through data and technology.   Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.   Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR.",https://www.linkedin.com/company/2048vc,https://www.2048.vc/,
K Fund,VC,"Spain,Portugal,USA,UK,Germany","Calle Juan Bravo 10, 28006, Madrid, Spain",💻 Software,$100k to $2M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed to pre-Series A B2B and B2C companies across Europe and the US.,https://www.linkedin.com/company/kfund/,https://en.kfund.vc/,
Paris Business Angels,Angel network,France,"16 rue de Turbigo, Paris, France","🌡 Medical hardware,⚙️ Enterprise hardware,📱 Consumer hardware,💻 Software",$100k to $1.5M,3. Early Revenue,We invest in French based startups willing to raise funds as well as finding expert advisors (BAs),https://www.linkedin.com/company/paris-business-angels/,https://www.parisbusinessangels.com/,
KPN Ventures,Corporate VC,"Netherlands,Germany,Belgium,UK,France","Wilhelminakade 123, Rotterdam, Zuid-Holland 3072, NL","💻 Software,🔬 Deep Tech",$500k to $2.5M,"3. Early Revenue,4. Scaling",We invest in growth sectors connected to our Telecom & ICT activities including: - Internet of Things (IOT) - Connected Home - Over the top (OTT) & mobile services - Digital Healthcare - Cyber Security - Cloud Computing - Data & Analytics - Networking Technology,https://www.linkedin.com/company/kpn-ventures/,https://kpnventures.com/,
West Web Valley,VC,France,110 rue Charles Nungesser 29490 Guipavas,💻 Software,$200k to $1M,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Western France in early stage companies with a digital focus in all economic sectors.,https://www.linkedin.com/company/west-web-valley,https://west-web-valley.fr/,
Caixa Capital Risc,VC,"Spain,Portugal","Avinguda Diagonal, 621, 08028 Barcelona, Spain","🔬 Deep Tech,💻 Software,💊 Therapeutics,📱 Consumer hardware,⚙️ Enterprise hardware",$500k to $3M,"3. Early Revenue,2. Prototype,4. Scaling,5. Growth,1. Idea or Patent","We invest in innovative companies in their initial stages of growth, mainly in Spain and Portugal with our three specialized teams in the areas of Technology, Life Sciences and Industrial Innovation.",https://www.linkedin.com/company/caixa-capital-risc,https://www.caixacapitalrisc.es/en/,
NovX Capital,Corporate VC,France,"162 boulevard Haussmann 75008 Paris, France","💻 Software,🔬 Deep Tech",$60k to $600k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early stage and technological startups.,https://www.linkedin.com/company/novx-capital/,https://novxcapital.com/,
Sparking Capital,VC,Romania,"15 Charles de Gaule Square, Bucharest,Romania","💻 Software,🔬 Deep Tech",$50k to $300k,"3. Early Revenue,1. Idea or Patent,2. Prototype",We invest in Romanian early stage startups.,https://www.linkedin.com/company/sparking-capital,https://www.sparkingcapital.com/,
Bailador Technology Investments,VC,Australia,"20 Bond Street, Suite 3, Level 20, Sydney, NSW 2000, Australia",💻 Software,$2M to $4M,5. Growth,"We invest in businesses within the technology sector that are seeking growth stage investment.  Companies we invest in typically share the following characteristics:  2-6 years of operation Run by the Founders Proven business model with attractive KPIs International revenue generation We focus on  eCommerce, subscription-based internet businesses, online marketplaces, software, SaaS, high value data, online education, telecommunication applications and services.",https://www.linkedin.com/company/bailador-investment-management/,https://bailador.com.au/,
iFly.VC,VC,USA,"329 Primrose Road, #346, Burlingame, CA 94011","💻 Software,🔬 Deep Tech",$200k to $1M,"3. Early Revenue,4. Scaling","We invest in outperformers that accelerate the trillion-dollar shift in consumer spending in America. Founded in late 2016, Fund I Group has backed entrepreneurs who strive to serve the underserved demographics (e.g., ethnic minorities, immigrants, residents in remote communities, etc.).",https://www.linkedin.com/company/ifly-vc/,https://ifly.vc,
574 Invest by SNCF,Corporate VC,France,France,"🔬 Deep Tech,💻 Software",$500k to $5M,"3. Early Revenue,4. Scaling","We invest in mobility, industry 4.0 and environmental startups to help SNCF group deliver on its purpose and to boost the growth of the mobility ecosystem, while protecting our planet.",https://www.linkedin.com/company/574invest/,https://574invest.com,
Synergy Ventures,Corporate VC,USA,USA,🌡 Medical hardware,$250k to $1M,3. Early Revenue,"We invest in start-up companies developing medical device and diagnostic products that address major diseases and conditions prevalent in industrialized countries as the population ages (such as cancer, cardiovascular and neurological diseases, orthopedic problems, respiratory conditions, and gastrointestinal disorders).    In these areas, we favor companies with novel, single-use medical devices that can provide clinically efficacious therapy, at lower cost, and with manageable and acceptable regulatory and reimbursement risks.    We look for start-up ventures featuring product concepts that can be advanced with minimal infrastructure and head-count – companies that can demonstrate clinical efficacy of their product or technology early on, and thus create strong potential for partnerships and acquisitions.   Synergy also assists our portfolio companies in developing corporate partnerships in Japan at the appropriate time, which can also provide significant strategic and economic benefits.  Our LPs are major Japan medical device corporations.",N/A,http://www.synergyventures.net/,
Creathor,VC,"Germany,Switzerland","Schwedenpfad 24, 61348 Bad Homburg, Germany","💻 Software,🔬 Deep Tech",$500k to $2M,3. Early Revenue,"We invest in machine intelligence, industry 4.0, digital health, diagnostics, medical devices, and drug development",https://www.linkedin.com/company/creathor-ventures/,http://www.creathor.com/en/,
Alpha Square Group,Family office,USA,"350 5th Ave, New York, 10118, USA",💻 Software,$3M to $15M,"6. Pre-IPO,5. Growth,4. Scaling","We invest in Series B to Pre-IPO companies with cheques from $3-15M, and often invest in multiple follow-on rounds as the business grows   We primarily invest in top-performing tech-enabled startups under enterprise SaaS and Fintech sectors   Rapid revenue growth and a run rate of at least $5M; exciting unit economics that demonstrate the potential to be highly profitable at scale",https://www.linkedin.com/company/alpha-square-group/,http://alphasquaregroup.com/,
Daphni,VC,"UK,France,USA,Germany,Portugal,Spain,Italy,Belgium,Sweden,Switzerland","87 Rue Réaumur, 75002 Paris","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🔬 Deep Tech,🌡 Medical hardware,💊 Therapeutics",$500k to $10M,"3. Early Revenue,4. Scaling,5. Growth",We invest in new usage We invest in european DNA companies We are sector agnostic We like singular projects We believe there is no planet B,https://www.linkedin.com/company/daphni/?originalSubdomain=fr,https://daphni.com/,
Cloud Capital,VC,"India,Singapore","Delhi, India","💻 Software,🔬 Deep Tech,📱 Consumer hardware",$100k to $250k,"3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling",We invest in tech-first Indian startups building global products.,https://www.linkedin.com/company/cloudcapital,https://www.cloudcap.in/,
B3 Angels,Angel network,USA,USA,"💻 Software,⚙️ Enterprise hardware,📱 Consumer hardware,🔬 Deep Tech,💊 Therapeutics,🌡 Medical hardware",$100k to $250k,"3. Early Revenue,4. Scaling","We invest in post-revenue US startups.   We are a syndicate of current and former Facebook employees who are interested to invest in technologies and companies that fit our investors' passions. In turn, we may be able to contribute with our expertise beyond just monetary investment.",https://www.linkedin.com/company/b3-angels/,https://www.b3angels.com/,
Thundermountain,Other,"Germany,Lithuania,Latvia,Estonia,Switzerland,Austria,UK,France,Netherlands,Belgium,Luxembourg","Kaiserslautern, Rheinland-Pfalz, Germany","💻 Software,🔬 Deep Tech",$25k to $100k,"2. Prototype,3. Early Revenue,4. Scaling","We invest in European based Tech Startups with a focus on global growth. Minimum MVP, better first revenue. We're building a bridge from the East to the West, so we also focus on promising CEE startups.",https://www.linkedin.com/in/frank-petry/,https://www.linkedin.com/in/frank-petry/,https://www.linkedin.com/in/frank-petry
TCG The Chernin Group,Other,"USA,Canada,China,India","12180 Millennium Drive, Suite 500, Playa Vista, CA 90094","💻 Software,📱 Consumer hardware,🌡 Medical hardware",$10M to $100M,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",TCG is a multi-stage investment firm dedicated to building consumer business. We invest on majority and minority investments across the consumer landscape.,https://www.linkedin.com/company/the-chernin-group/,https://tcg.co/,
AWS Gründerfonds,Public fund,Austria,"Walcherstraße 11A 1020 Wien, Austria","🔬 Deep Tech,💻 Software",$100k to $1M,"3. Early Revenue,4. Scaling","We invest in companies headquartered in Austria  No revenues required, max. EUR 10m  Less than 50 employees  Founders must hold equity stakes in the company of at least 25 %   The company was founded up to 6 years ago respectively first sales were generated no more than 6 years ago. In this case, the following size criteria are reduced to 70 % of the above-mentioned figures: number of employees, turnover, balance sheet total Management team with strong execution skills  Highly scalable business model with clearly recognisable benefit to the customer and documented proof of concept or proof of market  Target market with considerable volume and high growth potential  Investment amount between EUR 100,000 and EUR 3m (flexible contract structures)  For mezzanine investments: the company already generates revenues in its core business  We do not invest in: Companies without enough risk commitment of the founders  Reorganisations and restructurings  Companies with trend-based revenues or unclear USP  Some business models in the area of financing, lending and insurance – to be discussed in detail with the company Heavy industry companies​  We do ​Later Seed financing Series-A and Series-B financing for high-growth start-ups",https://www.linkedin.com/company/aws-gr%C3%BCnderfonds/,http://www.gruenderfonds.at/en/,
Seventure - Digital Technologies,VC,"France,Germany","5-7 rue de Monttessuy, Paris, 75007, FR",💻 Software,$1M to $5M,"3. Early Revenue,4. Scaling,2. Prototype","We invest in companies with a B2B business and in the following sectors:  - Fintech (including insurtech): Our investments focus on four sectors: software and services for financial players (asset management, back-office, scoring, big data, etc.), software and services for non-financial players (financial product comparators, personal finance tools, company financial management software, etc.), payments and money transfers (online and mobile payment solutions, money transfers, virtual currency, etc.) and technological solutions (security software, authentication solutions, dematerialization solutions, etc.)  - Innovative services: Target companies will be those with the capacity to reach customers directly via internet and mobile, for example, those whose product or service disintermediates the value chain of an economic activity, such as collaborative platforms for exchanging or lending material goods or services (cars, parking places, storage places, housework, testing and testing of software or applications, etc.), marketplaces, etc.  - SaaS (Software as a Service) software vendors: Targets will be SaaS software companies in vertical markets, for example, human resources management, big data, marketing, e-learning or supply chain management.  Seventure Digital technologies team supports the development of companies in various stages of development – from seed ventures to late stage companies.  We currently invest €1-5 million per financing round, and up to €10 million in several rounds.  Seventure Digital technologies team is based in Paris and has a presence in our Hanover office. Seventure Digital technologies team invests mainly in France and Germany.",https://www.linkedin.com/company/seventure-partners/,http://www.seventure.fr/en/,
Innovation Industries,VC,"Netherlands,Germany,Belgium,Switzerland,Australia,UK,Denmark","Pietersbergweg 285, Amsterdam, Noord-Holland 1105 BM, NL","💻 Software,📱 Consumer hardware,🌡 Medical hardware,🔬 Deep Tech,⚙️ Enterprise hardware",$1M to $30M,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype",We invest in European Deep Tech startups & scaleups that have a strong IP position,https://www.linkedin.com/company/innovationindustries/,https://www.innovationindustries.com/,
APX by Axel Springer & Porsche,VC,"Germany,France","Besselstraße 14, 10969 Berlin, Germany","💻 Software,🔬 Deep Tech,💊 Therapeutics",$50k to $100k,"1. Idea or Patent,2. Prototype",We invest in every fields except hardware,N/A,https://apx.ac/,
Gaia Capital Partners,VC,"France,Germany,USA,UK,Sweden,Norway,Denmark,Finland,Spain,Italy,Belgium,Austria,Netherlands","14 avenue Hoche, 75008, Paris France","💻 Software,📱 Consumer hardware,🔬 Deep Tech,⚙️ Enterprise hardware,🌡 Medical hardware",$10M to $40M,"5. Growth,6. Pre-IPO",We invest in European entrepreneurs engaged in technology disruption and sustainable growth. We invest $10m-$40m into high-growth scale-ups.,https://www.linkedin.com/company/gaiacap/,https://www.gaiacap.co/,
Vulcan Capital,Family office,"Canada,Israel,USA","505 5th Ave S, Seattle, Washington 98104, USA","💻 Software,🔬 Deep Tech",$10M to $100M,"3. Early Revenue,4. Scaling","Vulcan Capital has no defined limits on size or structure, but generally targets direct equity investments of $10 million to $100 million, as well as select smaller venture investments",https://www.linkedin.com/company/vulcancapital/,https://capital.vulcan.com/Approach.aspx,
Robert Bosch Venture Capital,Corporate VC,"China,USA,Israel,UK,Germany,France,Netherlands,Austria,Belgium,Denmark,Finland,Ireland,Luxembourg,Norway,Spain,Portugal,Sweden,Switzerland","Stuttgart, Baden-Wurttemberg, Germany","🔬 Deep Tech,💻 Software",$500k to $10M,"3. Early Revenue,4. Scaling","RBVC invests worldwide in innovative start-up companies at all stages of their development. Its investment activities focus on technology companies working in areas of business of current and future relevance for Bosch, above all, automation and electrification, energy efficiency, enabling technologies, and healthcare systems.",https://www.linkedin.com/company/robert-bosch-venture-capital-gmbh-rbvc-,http://www.rbvc.com,
Velocity Ventures,VC,"Singapore,Indonesia,Malaysia,Thailand,Vietnam,Philippines","33 Maude Rd, #02-01 YTC Building, Singapore 208344",💻 Software,$500k to $3M,3. Early Revenue,"We invest in Travel & Hospitality startups, across 5 verticals,, in Southeast Asia",https://www.linkedin.com/company/velocity-ventures-singapore/,https://www.velocityventures.vc/,
Expert Dojo,VC,"Argentina,Australia,Austria,Belarus,Belgium,Brazil,Canada,Chile,China,Colombia,France,USA,Finland,India,Netherlands,Nigeria,Japan,Italy,Israel,Venezuela,New Zealand,UK,South Africa,Norway,Peru,Sweden,Mexico,Russia,South Korea,Portugal","395 Santa Monica Place, Santa Monica, CA 90405, United States","💻 Software,🔬 Deep Tech,📱 Consumer hardware",$50k to $100k,"2. Prototype,1. Idea or Patent,3. Early Revenue","We invest globally in preseed companies trying to scale quickly.   Expert DOJO is the most active international early-stage startup accelerator in Southern California. We invest $100,000 in each of our startups and help them get traction and scale faster than they could ever do by themselves.",https://www.linkedin.com/company/expert-dojo,https://expertdojo.com/,
Northzone,VC,"USA,UK,Germany,Spain,Sweden,Finland,Norway,Denmark,France,Italy",UK,"🔬 Deep Tech,💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware",$1M to $15M,"3. Early Revenue,4. Scaling,5. Growth","Northzone is a venture capital fund with a perspective shaped by lives as entrepreneurs. Established in 1996, they have raised over €1.5 billion in funds and partnered with the founders of Spotify, Avito, iZettle, Klarna, Hopin, and hundreds of others to build category-defining businesses. The firm has offices across the Nordics, London, and NewYork, it works around the clock to connect its companies with customers, business partners, and key talent on a truly international scale.",https://www.linkedin.com/company/northzone,https://northzone.com/,
Heal Capital,VC,"Germany,UK,Spain,France,Italy,Poland,Netherlands,Austria,Switzerland,Norway,Sweden,Finland",Germany,"🔬 Deep Tech,💻 Software,🌡 Medical hardware",$1M to $5M,3. Early Revenue,Heal Capital is a healthtech specialist fund that invests at the convergence of healthcare and technology across the full patient journey,N/A,https://healcapital.com/,
Riverwood Capital,VC,"Canada,USA",USA,"💻 Software,🔬 Deep Tech",$25M to $125M,4. Scaling,"We invest in technology and technology-related businesses, with large market opportunities and proven business models, which can accelerate growth if provided the necessary capital and support.  We seek these opportunities on a global basis, with particular emphasis on North America, Latin America and other select emerging markets.",N/A,https://www.riverwoodcapital.com/,
Insight Partners,VC,"USA,Israel,Canada,France","New York, New York, United States","🔬 Deep Tech,💻 Software",$7M to $700M,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the fastest-growing software/recurring revenue businesses across the globe,https://www.linkedin.com/company/insight--partners/,https://www.insightpartners.com/,
HenQ Capital Partners,VC,"Netherlands,France,Finland,Germany,Estonia,Latvia,Belgium,Luxembourg,Spain,Portugal,Italy,Ukraine,UK,Switzerland,Sweden,Norway,Belarus,Poland,Czech Republic,Slovakia,Slovenia,Romania,Hungary,Russia,Ireland,Greece,North Macedonia,Serbia,Croatia,Lithuania,Bulgaria,Moldova,Austria,Denmark",Netherlands,"🔬 Deep Tech,💻 Software",$200k to $5M,"2. Prototype,1. Idea or Patent,3. Early Revenue",NTA,https://www.linkedin.com/company/henq-invest/mycompany/,https://henq.vc/,
Kreaxi,VC,France,France,"💻 Software,🔬 Deep Tech,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,💊 Therapeutics",$200k to $500k,"3. Early Revenue,2. Prototype","Regional fund, Seed specialized. All sectors",https://www.linkedin.com/company/kreaxi/,http://www.kreaxi.com/,
