id,firstname,lastname,contactType,jobTitle,description,favoriteUrl,urls,companies,nbInteractions,groups,createdAt,createdBy,addedToGroupAt,addedToGroupBy,Country,Investment,linkedin-private-codex,linkedin-private-claude
d7150b81-728c-46c9-83ad-f86539b7f993,Hasan,Abo-Shally,person,Co-Founder & CEO,,https://www.linkedin.com/in/hasanaboshally,https://www.linkedin.com/in/hasanaboshally,GoodDeeds.AI,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,1,https://www.linkedin.com/in/hasanaboshally,https://www.linkedin.com/in/hasanaboshally
d88e326e-a8aa-4063-aa12-9e97d99862fa,Alon,Weinberg,person,"Director, Leading Cisco Investments and M&A for Israel and LATAM",,https://www.linkedin.com/in/alonweinberg,https://www.linkedin.com/in/alonweinberg,Cisco,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Israel,6,https://www.linkedin.com/in/alonweinberg,https://www.linkedin.com/in/alonweinberg
d8d8844c-2770-442b-a5a3-8832811dbf0e,Ervin,Leibovici,person,Crew Member,,https://www.linkedin.com/in/ervin-leibovici-8493b,https://www.linkedin.com/in/ervin-leibovici-8493b,Jibe Ventures,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,3,https://www.linkedin.com/in/ervin-leibovici-8493b,https://www.linkedin.com/in/ervin-leibovici-8493b
d92d6890-c85f-4f60-bece-567dc67e6d1d,Gal,Sides,person,Vice President,,https://www.linkedin.com/in/gal-sides-1775a115,https://www.linkedin.com/in/gal-sides-1775a115,Sides סידס,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:07.108Z,Mirza Asceric,2026-02-15T20:40:07.108Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/gal-sides-1775a115,https://www.linkedin.com/in/gal-sides-1775a115
d972dbac-3df2-445c-9537-10a6fdd6c3d0,David,Ronen,person,Director of Product Management,,https://www.linkedin.com/in/davidronen,https://www.linkedin.com/in/davidronen,Qualcomm,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/davidronen,https://www.linkedin.com/in/davidronen
d9acded3-935e-4905-9fa1-35beea6b1e02,Ornit,Shinar,person,Partner,,https://www.linkedin.com/in/ornit-shinar-b80173,https://www.linkedin.com/in/ornit-shinar-b80173,RAIN Merchant Bank,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Israel,2,https://www.linkedin.com/in/ornit-shinar-b80173,https://www.linkedin.com/in/ornit-shinar-b80173
dbe043b4-b60f-4fca-a2a1-7c3cc5cc0759,Meeta,Gupta,person,Founder and CEO,,https://www.linkedin.com/in/meeta-gupta-7822771a,https://www.linkedin.com/in/meeta-gupta-7822771a,Moolah for Women- Moolah Literacy Pvt Ltd.,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,United Arab Emirates,1,https://www.linkedin.com/in/meeta-gupta-7822771a,https://www.linkedin.com/in/meeta-gupta-7822771a
dc18add0-571c-4fe7-971e-501822ae19cd,Simon,Gelfand,person,Chief Technology Officer & Co-Founder,,https://www.linkedin.com/in/webshark,https://www.linkedin.com/in/webshark,Wikiz,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Israel,6,https://www.linkedin.com/in/webshark,https://www.linkedin.com/in/webshark
dc1c3a34-ad42-4aa0-aa38-bd08e37a2c7f,Serkan,Bagce,person,General Manager,,https://www.linkedin.com/in/serkanbagce,https://www.linkedin.com/in/serkanbagce,Fongogo,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Turkey,2,https://www.linkedin.com/in/serkanbagce,https://www.linkedin.com/in/serkanbagce
ddbc2b01-3266-44f9-b6d9-f4912d135805,David,Reche,person,Co-Founder,,https://www.linkedin.com/in/davidreche,https://www.linkedin.com/in/davidreche,Careem,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,United Arab Emirates,2,https://www.linkedin.com/in/davidreche,https://www.linkedin.com/in/davidreche
de819348-2c51-4ff3-b1db-b39dadefd120,Bruno,Massera,person,General Partner,,https://www.linkedin.com/in/brunomassera,https://www.linkedin.com/in/brunomassera,Rural Ventures,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,United Arab Emirates,2,https://www.linkedin.com/in/brunomassera,https://www.linkedin.com/in/brunomassera
df4849f1-1be0-4644-9b00-231c07673418,Abdelhameed,Sharara,person,Professor of Entrepeneurship Practice,,https://www.linkedin.com/in/abdelhameed-sharara-6a983456,https://www.linkedin.com/in/abdelhameed-sharara-6a983456,Agora School of Business,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Egypt,3,https://www.linkedin.com/in/abdelhameed-sharara-6a983456,https://www.linkedin.com/in/abdelhameed-sharara-6a983456
df74e6aa-7661-444e-b9cc-98a0366d40a7,Vijay,Agicha,person,"Global Head of Strategy, M&A and Investments, PayU (Prosus Group)",,https://www.linkedin.com/in/vijay-agicha-8533792,https://www.linkedin.com/in/vijay-agicha-8533792,Naspers,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,United Arab Emirates,2,https://www.linkedin.com/in/vijay-agicha-8533792,https://www.linkedin.com/in/vijay-agicha-8533792
e11d83a8-82a2-49e6-a16d-178e62ddd887,Mohamed,El-Hawary,person,Founder & CEO,,https://www.linkedin.com/in/mmamdouh-1136,https://www.linkedin.com/in/mmamdouh-1136,Estasherny App,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Egypt,1,https://www.linkedin.com/in/mmamdouh-1136,https://www.linkedin.com/in/mmamdouh-1136
e159372c-c5e4-4980-b438-5ac05690cbb0,Cagri,Bozay,person,Founder & CEO,,https://www.linkedin.com/in/cagribozay,https://www.linkedin.com/in/cagribozay,Musixen,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:11.611Z,Mirza Asceric,2026-02-15T20:40:11.611Z,Mirza Asceric,Turkey,1,https://www.linkedin.com/in/cagribozay,https://www.linkedin.com/in/cagribozay
e1ae54ab-bef9-4cc6-903f-05944d01ca98,Murat,Ö.,person,Founder,,https://www.linkedin.com/in/mozanlar,https://www.linkedin.com/in/mozanlar,Key of Change Consultancy&Education,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,Turkey,1,https://www.linkedin.com/in/mozanlar,https://www.linkedin.com/in/mozanlar
e3a2e694-6e80-4d3e-bbf6-5e27bc8c0a9e,Pramendra,Garg,person,Chief Investment Officer,,https://www.linkedin.com/in/pramendragarg,https://www.linkedin.com/in/pramendragarg,E20 Investment LTD.,0,Top 300 Angel Investors in Middle East,2026-02-15T20:40:09.389Z,Mirza Asceric,2026-02-15T20:40:09.389Z,Mirza Asceric,United Arab Emirates,1,https://www.linkedin.com/in/pramendragarg,https://www.linkedin.com/in/pramendragarg
